年份,排名,企业估值,企业信息,CEO,行业
2022,No.1,￥ 28300 亿,台湾积体电路制造,刘德音,半导体
2022,No.2,￥ 24800 亿,腾讯控股,马化腾,互联网服务
2022,No.3,￥ 15000 亿,阿里巴巴,张勇,电子商务
2022,No.4,￥ 14000 亿,字节跳动,张利东,传媒和娱乐
2022,No.5,￥ 9700 亿,华为,梁华,智能手机、电信解决方案
2022,No.6,￥ 9680 亿,宁德时代,曾毓群,锂电池
2022,No.7,￥ 9270 亿,美团,王兴,生活服务
2022,No.8,￥ 8000 亿,蚂蚁科技,井贤栋,金融科技
2022,No.9,￥ 7780 亿,比亚迪,王传福,汽车、手机部件及组装
2022,No.10,￥ 7770 亿,中国平安保险,马明哲,金融服务
2022,No.11,￥ 6320 亿,拼多多,陈磊,电子商务
2022,No.12,￥ 6110 亿,京东集团,刘强东,电子商务
2022,No.13,￥ 4480 亿,农夫山泉,钟睒睒,饮料
2022,No.14,￥ 3850 亿,迈瑞生物医疗电子,李西廷,医疗器械
2022,No.15,￥ 3640 亿,隆基股份,钟宝申,硅材料
2022,No.16,￥ 3440 亿,美的集团,方洪波,家电
2022,No.17,￥ 3370 亿,海天调味食品,庞康,调味品
2022,No.18,￥ 3250 亿,网易,丁磊,互联网技术
2022,No.19,￥ 3200 亿,鸿海精密工业,刘扬伟,电子设备
2022,No.20,￥ 2820 亿,长城汽车,魏建军,汽车
2022,No.21,￥ 2800 亿,希音,许仰天,电商
2022,No.22,￥ 2620 亿,联发科技,蔡明介,半导体
2022,No.22,￥ 2620 亿,顺丰控股,王卫,快递
2022,No.24,￥ 2590 亿,牧原集团,秦英林,畜牧
2022,No.24,￥ 2590 亿,药明康德,李革,生物医药
2022,No.26,￥ 2570 亿,恒瑞医药,孙飘扬,医药
2022,No.27,￥ 2520 亿,东方财富,其实,金融数据服务
2022,No.28,￥ 2470 亿,泰康保险,陈东升,保险
2022,No.29,￥ 2440 亿,小米集团,雷军,智能手机、智能家电
2022,No.30,￥ 2430 亿,百度,李彦宏,网络信息服务
2022,No.30,￥ 2430 亿,立讯精密,王来春,消费电子精密件
2022,No.32,￥ 2420 亿,新鸿基地产,郭炳联,房地产
2022,No.33,￥ 2280 亿,海尔智家,梁海山,家用电器
2022,No.34,￥ 2240 亿,安踏体育,丁世忠,体育用品
2022,No.35,￥ 2200 亿,微众银行,顾敏,金融科技
