年份,排名,财富,排名变化,个人信息,企业信息
2017,1,￥ 2900 亿,9,许家印先生  59,"中国恒大
行业：房地产、投资"
2017,2,￥ 2500 亿,1,马化腾先生  46,"腾讯
行业：IT、娱乐"
2017,3,￥ 2000 亿,-1,马云家族先生  53,"阿里系
行业：电子商务、互联网金融"
2017,4,￥ 1600 亿,18,杨惠妍女士  36,"碧桂园
行业：房地产"
2017,5,￥ 1550 亿,-4,王健林家族先生  63,"万达
行业：房地产、文化"
2017,6,￥ 1500 亿,New ~,王卫先生  47,"顺丰
行业：快递"
2017,7,￥ 1250 亿,1,李彦宏、马东敏夫妇先生  49、女士  47,"百度
行业：搜索引擎"
2017,8,￥ 1150 亿,2,何享健、何剑锋父子先生  75、先生  50,"美的
行业：家电制造"
2017,8,￥ 1150 亿,-2,严昊家族先生  31,"苏太华系
行业：基础建设"
2017,10,￥ 1100 亿,-4,丁磊先生  46,"网易
行业：IT、娱乐"
2017,10,￥ 1100 亿,40,李书福、李星星父子先生  54、先生  32,"吉利
行业：汽车制造"
2017,12,￥ 1000 亿,5,张志东先生  45,"腾讯
行业：IT、娱乐"
2017,12,￥ 1000 亿,-7,宗庆后家族先生  72,"娃哈哈
行业：饮料"
2017,14,￥ 950 亿,-10,姚振华先生  47,"宝能
行业：投资、房地产"
2017,15,￥ 930 亿,-5,张近东先生  54,"苏宁
行业：零售、房地产"
2017,16,￥ 860 亿,-7,卢志强家族先生  65,"泛海
行业：金融、房地产"
2017,17,￥ 800 亿,-3,王文银、刘结红夫妇先生  49、女士  未知,"正威
行业：有色金属、半导体"
2017,18,￥ 750 亿,-8,严彬先生  63,"华彬
行业：饮料、地产"
2017,19,￥ 720 亿,327,孙宏斌先生  54,"融创
行业：房地产"
2017,20,￥ 715 亿,5,周群飞、郑俊龙夫妇女士  47、先生  45,"蓝思科技
行业：电子器件制造"
2017,21,￥ 700 亿,5,刘强东先生  43,"京东
行业：电子商务"
2017,22,￥ 680 亿,-8,雷军先生  48,"小米
行业：手机制造、投资"
2017,23,￥ 655 亿,-7,张士平家族先生  未知,"魏桥创业
行业：纺织、铝业"
2017,24,￥ 650 亿,15,龚虹嘉、陈春梅夫妇先生  52、女士  52,"海康威视
行业：视频监控产品"
2017,25,￥ 625 亿,3,郭广昌先生  50,"复星
行业：投资"
2017,26,￥ 610 亿,-7,史玉柱家族先生  55,"巨人
行业：金融、在线游戏、投资"
2017,27,￥ 590 亿,1,孙飘扬、钟慧娟夫妇先生  59、女士  56,"恒瑞制药、豪森制药
行业：医药"
2017,28,￥ 575 亿,75,王清涛先生  55,"中融新大
行业：煤焦"
2017,28,￥ 575 亿,-6,王文学先生  50,"华夏幸福
行业：房地产"
2017,30,￥ 570 亿,-6,刘永行家族先生  69,"东方希望
行业：氧化铝、重化工、饲料"
2017,30,￥ 570 亿,16,吴亚军家族女士  53,"龙湖
行业：房地产"
2017,32,￥ 560 亿,-5,许世辉家族先生  60,"达利食品
行业：食品"
2017,33,￥ 545 亿,-12,许荣茂家族先生  67,"世茂
行业：房地产"
2017,34,￥ 540 亿,4,潘政民、吴春媛夫妇先生  50、女士  未知,"瑞声科技
行业：声学科技"
2017,34,￥ 540 亿,3,王玉锁、赵宝菊夫妇先生  53、女士  52,"新奥
行业：天然气、能源化工"
2017,36,￥ 505 亿,-16,陈丽华女士  76,"富华
行业：房地产、紫檀博物馆"
2017,37,￥ 490 亿,-19,鲁冠球家族先生  72,"万向
行业：汽车制造业、房地产、农业"
2017,38,￥ 485 亿,15,方威先生  44,"方大
行业：碳素、钢铁、煤焦"
2017,39,￥ 470 亿,-7,袁亚非先生  53,"三胞
行业：IT连锁、房地产、投资"
2017,40,￥ 465 亿,17,陈建华、范红卫夫妇先生  46、女士  50,"恒力
行业：化纤、石化、房地产"
2017,41,￥ 450 亿,25,陈东升家族先生  60,"泰康
行业：保险"
2017,41,￥ 450 亿,8,张茵家族女士  60,"玖龙纸业
行业：环保造纸"
2017,43,￥ 430 亿,1,刘益谦家族先生  54,"新理益
行业：投资"
2017,44,￥ 425 亿,-14,刘永好家族先生  66,"新希望
行业：农业、化工、金融"
2017,45,￥ 420 亿,0,孙广信先生  55,"广汇
行业：汽车销售、能源、房地产"
2017,46,￥ 405 亿,-14,李金元先生  59,"天狮
行业：保健品"
2017,46,￥ 405 亿,0,马兴田家族先生  48,"康美药业
行业：医药"
2017,48,￥ 400 亿,-16,李河君先生  50,"汉能
行业：太阳能、风电、水电"
2017,48,￥ 400 亿,298,彭蕾先生  46,"阿里系
行业：电子商务、互联网金融"
2017,48,￥ 400 亿,165,张邦鑫先生  37,"好未来
行业：教育"
2017,48,￥ 400 亿,-7,周建平家族先生  56,"海澜
行业：服装、投资"
2017,52,￥ 390 亿,-16,魏建军、韩雪娟夫妇先生  53、女士  51,"长城
行业：汽车"
2017,53,￥ 385 亿,-3,阎志先生  45,"卓尔
行业：房地产、投资"
2017,54,￥ 370 亿,133,聂腾云、陈立英夫妇先生  41、女士  42,"韵达
行业：物流"
2017,55,￥ 360 亿,22,汪滔先生  37,"大疆创新
行业：无人飞机"
2017,56,￥ 350 亿,59,林立先生  54,"立业
行业：金融、投资"
2017,56,￥ 350 亿,17,熊续强先生  未知,"银亿
行业：房地产、矿业、投资"
2017,56,￥ 350 亿,1,徐镜人先生  73,"扬子江药业
行业：医药"
2017,56,￥ 350 亿,33,于泳先生  未知,"鸿商产业
行业：钼矿"
2017,60,￥ 345 亿,17,林秀成、林志强父子先生  62、先生  43,"三安
行业：LED"
2017,61,￥ 340 亿,34,蔡奎家族先生  56,"龙湖
行业：房地产"
2017,61,￥ 340 亿,47,傅利泉、陈爱玲夫妇先生  50、女士  50,"大华技术
行业：软件开发、电子及通讯产品"
2017,61,￥ 340 亿,71,解直锟、解茹桐父女先生  56、女士  未知,"中植
行业：金融、投资"
2017,61,￥ 340 亿,20,林亿先生  未知,"升龙
行业：房地产"
2017,65,￥ 330 亿,-26,吕向阳、张长虹夫妇先生  54、女士  56,"融捷投资
行业：投资"
2017,65,￥ 330 亿,-12,赵步长、赵涛父子先生  51、先生  51,"步长
行业：医药"
2017,65,￥ 330 亿,-12,周晓光、虞云新夫妇先生  55、女士  未知,"新光控股
行业：饰品、房地产、投资"
2017,68,￥ 325 亿,3,庞康先生  61,"海天味业
行业：食品"
2017,69,￥ 320 亿,-8,朱孟依家族先生  58,"合生创展
行业：房地产、投资"
2017,70,￥ 315 亿,9,陈发树先生  56,"新华都
行业：零售、矿、投资"
2017,70,￥ 315 亿,1,马建荣家族先生  52,"申洲针织
行业：纺织、服装"
2017,70,￥ 315 亿,125,喻会蛟、张小娟夫妇先生  51、女士  48,"圆通速递
行业：快递"
