年份,排名,财富,排名变化,个人信息,企业信息
2006,1,￥ 270 亿,35,张茵女士  49,"玖龙纸业
行业：包装纸及原料"
2006,2,￥ 200 亿,-1,黄光裕先生  37,"鹏润投资
行业：家电零售"
2006,3,￥ 165 亿,5,朱孟依先生  47,"合生创展
行业：房地产"
2006,4,￥ 160 亿,1,许荣茂先生  56,"世茂集团
行业：房地产"
2006,5,￥ 155 亿,  ,施正荣先生  43,"无锡尚德
行业：光伏"
2006,6,￥ 145 亿,0,荣智健先生  64,"中信泰富
行业：综合"
2006,7,￥ 136 亿,45,陈卓林家族先生  44,"雅居乐
行业：房地产"
2006,8,￥ 110 亿,  ,钟声坚先生  48,"仁恒集团
行业：房地产"
2006,9,￥ 108 亿,34,张力先生  53,"富力集团
行业：房地产"
2006,10,￥ 100 亿,1,许家印先生  48,"恒大集团
行业：房地产"
2006,11,￥ 90 亿,-7,丁磊先生  35,"网易
行业：门户网站"
2006,11,￥ 90 亿,2,郭广昌先生  39,"复星集团
行业：综合"
2006,11,￥ 90 亿,-4,鲁冠球家族先生  61,"万向集团
行业：汽车配件"
2006,14,￥ 80 亿,  ,杜双华先生  41,"京华创新集团、日照钢铁集团
行业：钢铁"
2006,14,￥ 80 亿,-6,宗庆后先生  61,"娃哈哈
行业：软饮料"
2006,16,￥ 75 亿,-14,严介和先生  46,"太平洋建设
行业：基础设施"
2006,17,￥ 70 亿,4,刘永行家族先生  58,"东方希望集团
行业：饲料"
2006,18,￥ 68 亿,-7,李金元先生  48,"天狮集团
行业：保健品"
2006,18,￥ 68 亿,2,刘永好家族先生  55,"新希望集团
行业：综合"
2006,20,￥ 65 亿,-7,黄俊钦先生  40,"新恒基集团
行业：房地产"
2006,20,￥ 65 亿,-10,吕慧、陈宁宁先生  57、女士  35,"嘉鑫控股
行业：钢铁贸易"
2006,20,￥ 65 亿,16,童锦泉先生  51,"长峰房地产
行业：房地产"
2006,20,￥ 65 亿,40,张近东先生  43,"苏宁电器
行业：家电零售"
2006,24,￥ 62 亿,73,周福仁先生  55,"西洋集团
行业：耐火材料"
2006,25,￥ 60 亿,-9,陈丽华女士  65,"富华集团
行业：房地产"
2006,25,￥ 60 亿,-22,陈天桥家族先生  33,"盛大网络
行业：互动娱乐"
2006,25,￥ 60 亿,-9,叶立培先生  62,"仲盛集团
行业：房地产"
2006,28,￥ 58 亿,2,祝义财先生  42,"雨润集团
行业：肉制品"
2006,29,￥ 56 亿,-8,宋卫平、夏一波夫妇先生  48、女士  未知,"绿城集团
行业：房地产"
2006,30,￥ 55 亿,13,史玉柱先生  44,"上海健特、征途网络
行业：综合"
2006,30,￥ 55 亿,  ,徐镜人先生  62,"扬子江药业
行业：医药"
2006,30,￥ 55 亿,0,张志祥先生  39,"建龙集团
行业：钢铁"
2006,33,￥ 51 亿,  ,潘政民、吴春媛夫妇先生  39、女士  未知,"AAC声学科技
行业：制造"
2006,34,￥ 50 亿,26,杨钊先生  59,"旭日集团
行业：成衣、地产"
2006,34,￥ 50 亿,134,张静章先生  69,"海天集团
行业：注塑机"
2006,34,￥ 50 亿,  ,张祥青先生  37,"荣程钢铁
行业：钢铁"
2006,34,￥ 50 亿,-8,周泽荣先生  52,"侨鑫集团
行业：房地产"
2006,38,￥ 48 亿,97,陈发树先生  45,"新华都实业集团
行业：零售、金矿"
2006,39,￥ 47 亿,58,李新炎先生  55,"中国龙工集团
行业：工程用车"
2006,40,￥ 46 亿,  ,李兆楠先生  未知,"恒德贸易发展
行业：保险"
2006,40,￥ 46 亿,57,吴瑞林先生  54,"侨兴集团
行业：通讯终端"
2006,42,￥ 45 亿,  ,刘学景先生  55,"凤祥集团
行业：肉鸡饲养"
2006,42,￥ 45 亿,-19,孙广信先生  44,"广汇集团
行业：综合"
2006,42,￥ 45 亿,14,王玉锁夫妇先生  42,"新奥集团
行业：能源"
2006,42,￥ 45 亿,-16,徐明先生  35,"实德集团
行业：综合"
2006,46,￥ 43 亿,-20,黄茂如先生  41,"茂业集团
行业：零售"
2006,47,￥ 42 亿,  ,贾廷亮、王锁兰夫妇先生  50、女士  46,"大土河焦化
行业：煤炭"
2006,47,￥ 42 亿,39,刘沧龙先生  未知,"宏达集团
行业：综合"
2006,47,￥ 42 亿,-4,王张兴先生  39,"家饰佳集团
行业：商业地产"
2006,47,￥ 42 亿,  ,朱炳洋先生  42,"恒丰永业
行业：保险"
2006,51,￥ 41 亿,31,江南春先生  33,"分众传媒
行业：楼宇广告"
2006,51,￥ 41 亿,  ,李非列先生  40,"飞尚集团
行业：矿产、能源"
2006,51,￥ 41 亿,  ,李伟先生  38,"思念食品
行业：速冻食品"
2006,51,￥ 41 亿,-15,卢志强先生  54,"泛海集团
行业：地产、金融"
2006,51,￥ 41 亿,  ,杨文瑛家族女士  62,"晨讯科技集团
行业：无线通讯"
2006,56,￥ 40 亿,68,曹德旺先生  60,"福耀玻璃
行业：玻璃"
2006,56,￥ 40 亿,-23,郭浩先生  51,"超大现代农业集团
行业：有机农业"
2006,56,￥ 40 亿,296,黄伟先生  38,"新湖集团
行业：房地产"
2006,56,￥ 40 亿,  ,李赶坡先生  57,"敬业集团
行业：钢铁、化工"
2006,56,￥ 40 亿,-43,李兆会家族先生  25,"海鑫集团
行业：钢铁"
2006,56,￥ 40 亿,26,马化腾先生  35,"腾讯
行业：互联网"
2006,56,￥ 40 亿,-20,马云先生  42,"阿里巴巴
行业：电子商务"
2006,56,￥ 40 亿,-26,严彬先生  52,"华彬集团
行业：房地产"
