年份,排名,财富,排名变化,个人信息,企业信息
2022,1,￥ 4550 亿,0,钟睒睒先生  68,"养生堂
行业：饮料、医疗保健"
2022,2,￥ 2450 亿,0,张一鸣先生  39,"字节跳动
行业：社交媒体"
2022,3,￥ 2300 亿,0,曾毓群先生  54,"宁德时代
行业：锂电池"
2022,4,￥ 2200 亿,4,李嘉诚家族先生  94,"长江实业
行业：投资"
2022,5,￥ 2150 亿,-1,马化腾先生  51,"腾讯
行业：互联网服务"
2022,6,￥ 1950 亿,8,丁磊先生  51,"网易
行业：互联网技术"
2022,7,￥ 1900 亿,2,何享健家族先生  80,"美的
行业：家电制造、房地产"
2022,8,￥ 1850 亿,7,秦英林、钱瑛夫妇先生  57、女士  56,"牧原
行业：畜牧"
2022,9,￥ 1800 亿,-4,马云家族先生  58,"阿里系
行业：电子商务、金融科技"
2022,10,￥ 1700 亿,-4,黄峥先生  42,"拼多多
行业：购物网站"
2022,11,￥ 1500 亿,1,陈建华、范红卫夫妇先生  51、女士  55,"恒力
行业：化纤、石化、房地产"
2022,11,￥ 1500 亿,17,刘永行、刘相宇父子先生  74、先生  47,"东方希望
行业：氧化铝、重化工、饲料"
2022,11,￥ 1500 亿,14,吕向阳、张长虹夫妇先生  59、女士  61,"融捷
行业：投资"
2022,14,￥ 1450 亿,1,李兆基先生  94,"恒基兆业
行业：房地产"
2022,14,￥ 1450 亿,6,王传福先生  56,"比亚迪
行业：汽车、充电电池"
2022,14,￥ 1450 亿,-4,王卫先生  52,"顺丰
行业：快递"
2022,14,￥ 1450 亿,16,严昊先生  36,"太平洋建设
行业：基础建设"
2022,18,￥ 1400 亿,0,郑家纯家族先生  74,"周大福
行业：房地产"
2022,19,￥ 1350 亿,14,李蔡美灵家族先生  未知,"李锦记
行业：调味品"
2022,19,￥ 1350 亿,-6,李书福家族先生  59,"吉利
行业：汽车制造"
2022,21,￥ 1300 亿,-4,庞康先生  66,"海天味业
行业：调味品"
2022,21,￥ 1300 亿,-14,魏建军、韩雪娟夫妇先生  58、女士  56,"长城
行业：汽车制造"
2022,23,￥ 1250 亿,7,刘汉元、管亚梅夫妇先生  58、女士  未知,"通威
行业：新能源、农业"
2022,24,￥ 1200 亿,15,吴光正家族先生  76,"会德丰
行业：房地产"
2022,25,￥ 1150 亿,-6,王兴先生  43,"美团
行业：生活服务"
2022,26,￥ 1100 亿,-2,黄世霖先生  55,"宁德时代
行业：锂电池"
2022,26,￥ 1100 亿,11,李西廷先生  71,"迈瑞
行业：医疗器械"
2022,26,￥ 1100 亿,10,王文银家族先生  54,"正威
行业：有色金属贸易"
2022,26,￥ 1100 亿,9,徐航先生  60,"迈瑞、鹏瑞
行业：医疗器械、房地产"
2022,30,￥ 1050 亿,-4,刘强东、章泽天夫妇先生  48、女士  29,"京东
行业：电子商务、金融"
2022,30,￥ 1050 亿,7,严彬先生  68,"华彬
行业：饮料、地产"
2022,32,￥ 1000 亿,36,吕志和家族先生  93,"银河
行业：博彩"
2022,32,￥ 1000 亿,9,王健林家族先生  68,"万达
行业：房地产、文化"
2022,32,￥ 1000 亿,1,宗庆后家族先生  77,"娃哈哈
行业：饮料"
2022,35,￥ 980 亿,-14,罗立国家族先生  66,"合盛
行业：硅材料"
2022,36,￥ 950 亿,-10,陈邦先生  57,"爱尔眼科
行业：医疗服务"
2022,36,￥ 950 亿,5,刘永好家族先生  71,"新希望
行业：农业、化工、金融"
