年份,排名,财富,排名变化,个人信息,企业信息
2013,1,￥ 1350 亿,-1,王健林先生  59,"万达
行业：房地产、文化"
2013,2,￥ 1150 亿,1,宗庆后家族先生  68,"娃哈哈
行业：饮料"
2013,3,￥ 620 亿,-4,马化腾先生  42,"腾讯
行业：IT、娱乐"
2013,4,￥ 515 亿,-31,魏建军先生  49,"长城汽车
行业：汽车"
2013,5,￥ 510 亿,-6,杨惠妍家族女士  32,"碧桂园
行业：房地产"
2013,6,￥ 500 亿,3,李彦宏先生  45,"百度
行业：搜索引擎"
2013,6,￥ 500 亿,2,严彬先生  59,"华彬
行业：饮料、房地产"
2013,8,￥ 430 亿,-4,许荣茂家族先生  63,"世茂
行业：房地产、投资"
2013,9,￥ 395 亿,-12,张近东先生  50,"苏宁云商
行业：家电零售、房地产"
2013,10,￥ 375 亿,-19,姜滨家族先生  47,"歌尔声学
行业：声学及多媒体产品"
2013,10,￥ 375 亿,1,许家印先生  55,"恒大
行业：房地产、投资"
2013,12,￥ 370 亿,2,陈丽华女士  72,"富华
行业：房地产"
2013,12,￥ 370 亿,6,刘永行家族先生  65,"东方希望
行业：氧化铝、重化工、饲料"
2013,12,￥ 370 亿,0,卢志强先生  61,"泛海
行业：房地产、金融、投资"
2013,15,￥ 365 亿,10,梁稳根先生  57,"三一
行业：重型机械"
2013,16,￥ 350 亿,-9,何享健家族先生  71,"美的
行业：家电"
2013,17,￥ 340 亿,3,刘永好家族先生  62,"新希望
行业：农业、金融"
2013,18,￥ 310 亿,0,鲁冠球家族先生  68,"万向
行业：汽车制造业、房地产、农业"
2013,19,￥ 300 亿,2,孙广信先生  51,"广汇
行业：房地产、汽车销售、能源"
2013,19,￥ 300 亿,New ~,王文银先生  45,"正威
行业：有色金属、半导体"
2013,21,￥ 290 亿,7,李金元先生  55,"天狮
行业：保健品"
2013,22,￥ 280 亿,14,吴亚军家族女士  49,"龙湖
行业：房地产"
2013,22,￥ 280 亿,3,张士平家族先生  未知,"魏桥创业
行业：纺织、铝业"
2013,24,￥ 270 亿,-5,张茵家族女士  56,"玖龙纸业
行业：造纸"
2013,25,￥ 260 亿,-2,陈发树家族先生  52,"新华都
行业：投资、房地产"
2013,25,￥ 260 亿,6,丁磊先生  42,"网易
行业：IT、娱乐"
2013,25,￥ 260 亿,-18,祝义财、吴学琴夫妇先生  49、女士  未知,"雨润
行业：食品、房地产"
2013,28,￥ 255 亿,-12,王玉锁、赵宝菊夫妇先生  49、女士  48,"新奥
行业：天然气、能源化工"
2013,29,￥ 250 亿,-17,马云家族先生  49,"阿里巴巴
行业：IT"
2013,29,￥ 250 亿,7,朱孟依家族先生  54,"合生创展、珠江投资
行业：房地产"
2013,31,￥ 235 亿,-9,龚虹嘉、陈春梅夫妇先生  48、女士  48,"海康威视
行业：视频监控产品"
2013,32,￥ 230 亿,1,潘石屹、张欣夫妇先生  50、女士  48,"SOHO中国
行业：房地产"
2013,32,￥ 230 亿,-3,史玉柱家族先生  51,"巨人
行业：金融、在线游戏"
2013,34,￥ 220 亿,10,陈卓林家族先生  51,"雅居乐
行业：房地产"
