年份,排名,财富,排名变化,个人信息,企业信息
2004,1,￥ 105 亿,  ,黄光裕先生  35,"鹏润投资
行业：家电零售、北京房地产"
2004,2,￥ 88 亿,  ,陈天桥先生  31,"盛大网路
行业：在线游戏"
2004,3,￥ 85 亿,  ,荣智健先生  62,"中信泰富集团
行业：航空、基础建设、房地产和电信"
2004,4,￥ 70 亿,  ,许荣茂先生  54,"世茂集团
行业：上海、北京和福州的房地产、饭店"
2004,5,￥ 61 亿,  ,鲁冠球先生  59,"万向集团
行业：汽车配件、金融"
2004,6,￥ 60 亿,  ,李金元先生  46,"天狮集团
行业：保健品直销"
2004,7,￥ 50 亿,  ,陈丽华女士  63,"香港富华国际集团
行业：北京房地产、紫檀博物馆"
2004,7,￥ 50 亿,  ,丁磊先生  33,"网易公司
行业：在线游戏、短信服务、门户网站"
2004,9,￥ 45 亿,  ,刘永好先生  53,"新希望集团
行业：饲料、金融、房地产、乳制品"
2004,9,￥ 45 亿,  ,叶立培先生  60,"仲盛集团
行业：上海房地产"
2004,9,￥ 45 亿,  ,朱孟依家族先生  45,"合生创展
行业：广东、北京、上海和天津房地产"
2004,12,￥ 42 亿,  ,刘永行先生  56,"东方希望集团
行业：饲料、电解铝"
2004,12,￥ 42 亿,  ,孙广信先生  42,"广汇集团
行业：液化天然气、汽车贸易、会展和物流、乌鲁木齐房地产"
2004,14,￥ 37 亿,  ,杜厦先生  57,"家世界集团
行业：巨型超级市场、家居连锁店"
2004,15,￥ 35 亿,  ,周建和先生  41,"庄胜集团
行业：北京房地产、酒店和国际贸易"
2004,16,￥ 34 亿,  ,刘方先生  未知,"源信行投资
行业：保险"
2004,17,￥ 33 亿,  ,郭广昌先生  37,"复星高科技集团
行业：上海房地产、钢材、医药"
2004,17,￥ 33 亿,  ,严彬先生  50,"华彬国际集团
行业：国际贸易、物业经营管理、功能饮料"
2004,19,￥ 30 亿,  ,黄茂如先生  39,"茂业集团
行业：零售和房地产"
2004,19,￥ 30 亿,  ,李兆会先生  23,"山西海鑫钢铁
行业：钢材产品"
