年份,排名,财富,排名变化,个人信息,企业信息
2000,1,￥ 158 亿,  ,荣毅仁家族先生  84,"中信泰富
行业：投资"
2000,2,￥ 83 亿,  ,刘永好、刘永行家族先生  49、先生  52,"希望集团
行业：动物饲料"
2000,3,￥ 42 亿,  ,任正非先生  56,"华为技术
行业：电信设备"
2000,4,￥ 40 亿,  ,张兴民先生  42,"海南兴宝集团
行业：贸易、房地产"
2000,5,￥ 35 亿,  ,吴一坚先生  40,"陕西金花企业发展集团
行业：制药"
2000,6,￥ 30 亿,  ,鲁冠球先生  55,"万向集团
行业：汽车配件"
2000,7,￥ 29 亿,  ,张宏伟先生  46,"东方集团
行业：建筑、贸易"
2000,8,￥ 27 亿,  ,徐文荣先生  65,"浙江横店集团
行业：磁性材料生产"
2000,9,￥ 26 亿,  ,张思民先生  38,"海王生物工程集团
行业：制药"
2000,10,￥ 22 亿,  ,宋朝弟先生  39,"科利华软件集团
行业：电脑教育软件"
2000,11,￥ 20 亿,  ,李晓华先生  38,"香港华达投资集团
行业：房地产"
2000,12,￥ 19 亿,  ,陈金飞、张斌先生  38、先生  30,"北京通产投资集团
行业：投资"
2000,13,￥ 18 亿,  ,吴炳新先生  62,"山东三株药业集团
行业：制药"
2000,14,￥ 17 亿,  ,田溯宁先生  37,"中国网通有限公司
行业：电信基础设施"
2000,15,￥ 16 亿,  ,陶新康先生  47,"上海新高潮集团
行业：家具"
2000,16,￥ 16 亿,  ,丁健先生  35,"亚信控股
行业：因特网基础建设"
2000,17,￥ 14 亿,  ,荣海先生  43,"西安海星科技集团
行业：电脑制造"
2000,18,￥ 12 亿,  ,卢志强先生  48,"山东泛海集团
行业：房地产管理、建材"
2000,19,￥ 12 亿,  ,吴鹰先生  41,"UT斯达康公司
行业：电信"
2000,20,￥ 11 亿,  ,丁磊先生  29,"网易公司
行业：因特网门户网站"
2000,21,￥ 11 亿,  ,刘汉元先生  36,"四川通威集团
行业：鱼饲料"
2000,22,￥ 10 亿,  ,林灼辉、方小文夫妇先生  53、女士  53,"广东英吉利有限公司
行业：农业"
2000,23,￥ 10 亿,  ,阎俊杰、张璨夫妇先生  36、女士  34,"达因集团
行业：分销"
2000,24,￥ 10 亿,  ,张果喜先生  48,"江西果喜集团
行业：木雕"
2000,25,￥ 10 亿,  ,郭广昌先生  33,"复星高科技集团
行业：生物技术产品、中药"
2000,26,￥ 10 亿,  ,吴志剑先生  41,"深圳政华集团
行业：贸易"
2000,27,￥ 10 亿,  ,张跃、张剑兄弟先生  40、先生  37,"远大空调集团
行业：空调制造"
2000,28,￥ 8 亿,  ,罗忠福先生  49,"珠海福海集团
行业：房地产"
2000,29,￥ 8 亿,  ,孙广信先生  38,"新疆广汇企业集团
行业：建材、房地产"
2000,30,￥ 8 亿,  ,夏朝嘉先生  51,"禾嘉集团
行业：农业"
2000,31,￥ 8 亿,  ,高丰先生  60,"内蒙古鹿王羊绒集团
行业：纺织"
2000,32,￥ 8 亿,  ,李书福先生  37,"浙江吉利集团
行业：摩托车生产"
2000,33,￥ 7 亿,  ,何伯权先生  40,"广东乐百氏集团
行业：饮料"
2000,34,￥ 7 亿,  ,楼忠福先生  未知,"中国广厦建设集团
行业：建筑、房地产"
2000,35,￥ 7 亿,  ,陈金义先生  40,"浙江金义集团
行业：食品、饮料"
2000,36,￥ 6 亿,  ,南存辉先生  37,"浙江温州正泰集团
行业：低压电器生产"
2000,37,￥ 6 亿,  ,张朝阳先生  36,"搜狐集团
行业：因特网门户网站"
2000,38,￥ 5 亿,  ,杨澜女士  32,"阳光影视公司
行业：媒体"
2000,39,￥ 5 亿,  ,陈荣先生  40,"上海中路集团
行业：保龄球设备生产"
2000,40,￥ 5 亿,  ,黄宏生先生  44,"香港创维集团
行业：家用电器"
2000,41,￥ 5 亿,  ,王文京先生  36,"北京用友软件集团
行业：电脑软件"
2000,42,￥ 5 亿,  ,王志东先生  33,"新浪网
行业：因特网门户网站"
2000,43,￥ 5 亿,  ,韩伟先生  46,"大连韩伟企业集团
行业：农业"
2000,44,￥ 4 亿,  ,刘绍喜先生  37,"宣华企业集团
行业：地板木料、家具"
2000,45,￥ 4 亿,  ,宋如华先生  38,"四川托普集团
行业：电脑软件"
2000,46,￥ 4 亿,  ,祝维沙先生  45,"裕兴信息技术有限公司
行业：信息设备"
2000,47,￥ 4 亿,  ,陆汉振先生  45,"浙江金轮集团
行业：生产摩托车用轮胎配件"
2000,48,￥ 4 亿,  ,韩召善先生  49,"盼盼集团
行业：防盗门生产"
2000,49,￥ 4 亿,  ,薛永新先生  48,"成都恩威世亨制药公司
行业：制药"
2000,50,￥ 3.5 亿,  ,尹明善先生  62,"重庆力帆轰达集团
行业：摩托车、摩托车发动机"
