年份,排名,财富,排名变化,个人信息,企业信息
2008,1,￥ 430 亿,  ,黄光裕先生  39,"鹏润投资
行业：家电零售、房地产、投资"
2008,2,￥ 350 亿,  ,杜双华先生  43,"日照钢铁
行业：钢铁"
2008,3,￥ 330 亿,  ,杨惠妍女士  27,"碧桂园
行业：房地产"
2008,4,￥ 270 亿,  ,彭小峰先生  33,"江西赛维
行业：太阳能"
2008,5,￥ 250 亿,  ,刘永行家族先生  60,"东方希望
行业：氧化铝、电解铝、饲料"
2008,5,￥ 250 亿,  ,荣智健先生  66,"中信泰富
行业：综合"
2008,7,￥ 220 亿,  ,张近东先生  45,"苏宁电器
行业：家电零售、房地产"
2008,8,￥ 215 亿,  ,施正荣先生  45,"尚德太阳能
行业：太阳能"
2008,9,￥ 210 亿,  ,许荣茂家族先生  58,"世茂集团
行业：房地产"
2008,10,￥ 200 亿,  ,张志祥先生  41,"建龙集团
行业：钢铁、造船、机电制造"
2008,10,￥ 200 亿,  ,朱孟依家族先生  49,"合生创展/珠江投资
行业：房地产"
2008,12,￥ 195 亿,  ,何享健先生  66,"美的集团
行业：家电"
2008,13,￥ 190 亿,  ,刘永好家族先生  57,"新希望
行业：农业、食品、化工、房地产、金融"
2008,14,￥ 185 亿,  ,鲁冠球家族先生  63,"万向集团
行业：汽车零配件、房地产、金融"
2008,15,￥ 180 亿,  ,陈丽华女士  67,"富华集团
行业：房地产、紫檀博物馆"
2008,15,￥ 180 亿,  ,张茵家族女士  51,"玖龙纸业
行业：包装纸"
2008,15,￥ 180 亿,  ,宗庆后家族先生  63,"娃哈哈
行业：饮料、童装"
2008,18,￥ 170 亿,  ,童锦泉先生  53,"长峰房地产
行业：房地产"
2008,18,￥ 170 亿,  ,周成建家族先生  43,"美特斯邦威
行业：服装"
2008,20,￥ 160 亿,  ,李金元先生  50,"天狮集团
行业：保健品"
2008,20,￥ 160 亿,  ,李彦宏先生  40,"百度
行业：搜索引擎"
2008,20,￥ 160 亿,  ,卢志强先生  56,"泛海建设
行业：房地产、金融"
2008,20,￥ 160 亿,  ,史玉柱先生  46,"巨人集团
行业：在线游戏、金融"
2008,20,￥ 160 亿,  ,王健林先生  54,"大连万达
行业：房地产、酒店"
2008,20,￥ 160 亿,  ,祝义财先生  44,"雨润
行业：食品、房地产"
2008,26,￥ 150 亿,  ,莫峰先生  未知,"昌运东富
行业：航运"
2008,26,￥ 150 亿,  ,许家印先生  50,"恒大集团
行业：房地产"
2008,28,￥ 130 亿,  ,黄俊钦先生  42,"新恒基集团
行业：房地产"
2008,28,￥ 130 亿,  ,黄伟先生  40,"新湖集团
行业：房地产、金融"
2008,28,￥ 130 亿,  ,张力先生  55,"富力地产
行业：房地产"
2008,28,￥ 130 亿,  ,朱林瑶女士  38,"华宝国际
行业：香精香料"
2008,32,￥ 125 亿,  ,李兆会家族先生  27,"海鑫钢铁
行业：钢铁、金融"
2008,32,￥ 125 亿,  ,马化腾先生  37,"腾讯
行业：即时通讯、门户网站、在线游戏"
2008,32,￥ 125 亿,  ,潘石屹、张欣夫妇先生  45、女士  43,"SOHO中国
行业：房地产"
2008,32,￥ 125 亿,  ,钟声坚先生  50,"仁恒集团
行业：房地产、造纸"
2008,36,￥ 120 亿,  ,梁稳根先生  52,"三一集团
行业：重型机械"
2008,36,￥ 120 亿,  ,沈文荣先生  62,"沙钢集团
行业：钢铁"
2008,36,￥ 120 亿,  ,周福仁先生  57,"西洋集团
行业：复合肥、耐火材料、铁矿石"
2008,39,￥ 115 亿,  ,陈卓林家族先生  46,"雅居乐
行业：房地产"
2008,40,￥ 110 亿,  ,丁磊先生  37,"网易
行业：门户网站、在线游戏"
2008,40,￥ 110 亿,  ,郭广昌先生  41,"复星集团
行业：综合"
2008,40,￥ 110 亿,  ,黄文仔先生  55,"宏宇集团
行业：房地产、木业"
2008,40,￥ 110 亿,  ,吴亚军家族女士  44,"龙湖地产
行业：房地产"
2008,44,￥ 105 亿,  ,吕慧、陈宁宁母女先生  59、女士  37,"嘉鑫控股
行业：铁矿石进出口、房地产、金融"
2008,45,￥ 100 亿,  ,黄茂如、张静夫妇先生  43、女士  未知,"茂业集团
行业：房地产、零售"
2008,45,￥ 100 亿,  ,刘沧龙兄弟先生  未知,"宏达集团
行业：冶金、化工、房地产"
2008,45,￥ 100 亿,  ,严介和、张云芹夫妇先生  48、女士  48,"太平洋建设
行业：基础建设"
2008,45,￥ 100 亿,  ,叶立培先生  64,"仲盛集团
行业：房地产"
2008,45,￥ 100 亿,  ,张桂平家族先生  57,"苏宁环球
行业：房地产"
2008,45,￥ 100 亿,  ,张祥青先生  39,"荣程钢铁
行业：钢铁"
2008,51,￥ 95 亿,  ,陈天桥家族先生  35,"盛大网络
行业：互动娱乐"
2008,51,￥ 95 亿,  ,鲜扬先生  35,"恒鼎实业
行业：焦炭"
