年份,排名,财富,排名变化,个人信息,企业信息
2019,1,￥ 2750 亿,0,马云家族先生  55,"阿里系
行业：电子商务、金融科技"
2019,2,￥ 2600 亿,1,马化腾先生  48,"腾讯
行业：互联网服务"
2019,3,￥ 2100 亿,-1,许家印先生  61,"恒大
行业：房地产、投资"
2019,4,￥ 1800 亿,2,何享健、何剑锋父子先生  77、先生  52,"美的
行业：家电制造、房地产"
2019,5,￥ 1750 亿,15,孙飘扬、钟慧娟夫妇先生  61、女士  58,"恒瑞制药、翰森制药
行业：医药"
2019,5,￥ 1750 亿,-1,杨惠妍家族女士  38,"碧桂园
行业：房地产"
2019,7,￥ 1350 亿,6,黄峥先生  39,"拼多多
行业：购物网站"
2019,8,￥ 1250 亿,8,丁磊先生  48,"网易
行业：互联网技术"
2019,9,￥ 1200 亿,-4,王健林家族先生  65,"万达
行业：房地产、文化"
2019,9,￥ 1200 亿,-2,严昊先生  33,"太平洋建设
行业：基础建设"
2019,9,￥ 1200 亿,25,张勇、舒萍夫妇先生  48、女士  49,"海底捞
行业：餐饮"
2019,12,￥ 1100 亿,-5,王卫先生  49,"顺丰
行业：快递"
2019,13,￥ 1050 亿,9,陈建华、范红卫夫妇先生  48、女士  52,"恒力
行业：化纤、石化、房地产"
2019,13,￥ 1050 亿,0,张志东先生  47,"腾讯
行业：互联网服务"
2019,15,￥ 1000 亿,1,李书福家族先生  56,"吉利
行业：汽车制造"
2019,15,￥ 1000 亿,55,秦英林、钱瑛夫妇先生  54、女士  53,"牧原
行业：畜牧"
2019,15,￥ 1000 亿,-5,王文银家族先生  51,"正威
行业：有色金属"
2019,15,￥ 1000 亿,-3,姚振华先生  49,"宝能
行业：投资、房地产"
2019,15,￥ 1000 亿,-2,张近东先生  56,"苏宁
行业：零售、房地产"
2019,20,￥ 950 亿,5,林立先生  56,"立业
行业：金融、投资"
2019,20,￥ 950 亿,-1,许荣茂家族先生  69,"世茂
行业：房地产"
2019,20,￥ 950 亿,6,张一鸣先生  36,"字节跳动
行业：推荐引擎"
2019,23,￥ 850 亿,12,庞康先生  63,"海天味业
行业：食品"
2019,23,￥ 850 亿,10,吴亚军家族女士  55,"龙湖
行业：房地产"
2019,23,￥ 850 亿,-7,宗庆后家族先生  74,"娃哈哈
行业：饮料"
2019,26,￥ 800 亿,36,刘永好家族先生  68,"新希望
行业：农业、化工、金融"
2019,26,￥ 800 亿,-3,严彬先生  65,"华彬
行业：饮料、地产"
2019,28,￥ 760 亿,-4,刘强东先生  45,"京东
行业：电子商务、金融"
2019,29,￥ 750 亿,-19,雷军先生  50,"小米
行业：智能硬件与技术、投资"
2019,30,￥ 700 亿,-1,刘永行家族先生  71,"东方希望
行业：氧化铝、重化工、饲料"
2019,30,￥ 700 亿,-9,卢志强家族先生  67,"泛海
行业：金融、房地产"
2019,30,￥ 700 亿,52,徐航先生  57,"迈瑞、鹏瑞
行业：医疗设备、房地产"
2019,33,￥ 680 亿,10,孙宏斌先生  56,"融创
行业：房地产"
2019,34,￥ 650 亿,-3,龚虹嘉、陈春梅夫妇先生  54、女士  54,"海康威视
行业：视频监控产品"
2019,34,￥ 650 亿,-25,李彦宏、马东敏夫妇先生  51、女士  49,"百度
行业：搜索引擎"
2019,34,￥ 650 亿,-8,郑淑良家族先生  73,"魏桥创业
行业：纺织、铝业"
2019,37,￥ 640 亿,-7,王玉锁、赵宝菊夫妇先生  55、女士  54,"新奥
行业：天然气、能源化工"
2019,38,￥ 625 亿,7,谢炳家族先生  67,"中国生物
行业：医药"
2019,39,￥ 610 亿,32,李华先生  53,"卓越
行业：房地产"
2019,40,￥ 600 亿,141,李西廷先生  68,"迈瑞
行业：医疗设备"
2019,40,￥ 600 亿,New ~,鲁忠芳、李永新母子女士  77、先生  43,"中公教育
行业：教育"
2019,40,￥ 600 亿,-2,马建荣家族先生  54,"申洲针织
行业：纺织、服装"
2019,40,￥ 600 亿,-14,许世辉家族先生  62,"达利食品
行业：食品"
2019,44,￥ 590 亿,401,党彦宝先生  46,"宝丰
行业：煤炭采选业"
2019,45,￥ 570 亿,-10,郭广昌先生  52,"复星
行业：投资"
2019,46,￥ 560 亿,69,施永宏、李海燕夫妇先生  49、女士  未知,"海底捞
行业：餐饮"
2019,47,￥ 530 亿,18,陈邦先生  54,"爱尔眼科
行业：医疗服务"
2019,47,￥ 530 亿,-9,陈东升家族先生  62,"泰康
行业：保险"
2019,49,￥ 525 亿,-12,陈丽华女士  78,"富华
行业：房地产、紫檀博物馆"
2019,50,￥ 520 亿,3,蒋仁生家族先生  66,"智飞生物
行业：疫苗"
2019,51,￥ 500 亿,20,蔡奎家族先生  58,"龙湖
行业：房地产"
2019,51,￥ 500 亿,14,纪海鹏家族先生  52,"龙光地产
行业：房地产"
2019,51,￥ 500 亿,-11,沈国军家族先生  57,"银泰
行业：零售、房地产、物流"
2019,54,￥ 490 亿,22,聂腾云、陈立英夫妇先生  43、女士  44,"韵达
行业：物流"
2019,55,￥ 485 亿,-15,王文学先生  52,"华夏幸福
行业：房地产"
2019,56,￥ 470 亿,-10,汪滔先生  39,"大疆
行业：无人飞机"
2019,57,￥ 450 亿,-4,曾毓群先生  51,"宁德时代
行业：锂电池"
2019,57,￥ 450 亿,1,朱保国家族先生  57,"健康元
行业：医药"
2019,59,￥ 440 亿,51,刘汉元、管亚梅夫妇先生  55、女士  未知,"通威
行业：农业、新能源"
2019,59,￥ 440 亿,9,张邦鑫先生  39,"好未来
行业：教育"
2019,59,￥ 440 亿,136,张帆先生  54,"汇顶科技
行业：人机交互"
2019,62,￥ 430 亿,0,徐镜人先生  75,"扬子江药业
行业：医药"
2019,62,￥ 430 亿,-12,周鸿祎先生  49,"三六零安全科技
行业：互联网安全与软件、搜索"
2019,64,￥ 405 亿,12,张宏伟先生  65,"东方
行业：能源、零售"
2019,65,￥ 400 亿,17,陈天桥、雒芊芊夫妇先生  46、女士  未知,"盛大
行业：投资"
2019,65,￥ 400 亿,608,杜双华先生  54,"日照钢铁
行业：钢铁"
2019,65,￥ 400 亿,6,刘益谦家族先生  56,"新理益
行业：投资"
2019,65,￥ 400 亿,-7,王兴先生  40,"美团点评
行业：生活服务"
2019,65,￥ 400 亿,-3,张劲先生  48,"雪松控股
行业：投资、房地产"
2019,70,￥ 395 亿,-24,方威先生  46,"方大
行业：碳素、钢铁、煤焦"
2019,71,￥ 390 亿,51,王文京先生  55,"用友
行业：软件服务"
2019,72,￥ 380 亿,-11,车建兴先生  53,"红星美凯龙
行业：家具连锁"
2019,72,￥ 380 亿,-19,李水荣先生  63,"荣盛控股
行业：化纤"
2019,72,￥ 380 亿,-19,史玉柱、史静父女先生  57、女士  未知,"巨人
行业：金融、在线游戏、投资"
2019,75,￥ 370 亿,-26,周建平家族先生  58,"海澜
行业：服装、投资"
2019,76,￥ 365 亿,-30,鲁伟鼎家族先生  48,"万向
行业：汽车制造业、房地产、农业"
2019,76,￥ 365 亿,19,姚良松先生  55,"欧派家居
行业：橱柜"
2019,78,￥ 360 亿,New ~,袁征先生  49,"zoom
行业：视频软件"
2019,79,￥ 355 亿,27,孙寿宽先生  70,"嘉晨
行业：钢铁、耐火材料、煤化工"
2019,79,￥ 355 亿,-8,童锦泉先生  64,"长峰房地产
行业：房地产"
2019,81,￥ 350 亿,65,丁世忠先生  49,"安踏
行业：体育用品"
2019,81,￥ 350 亿,29,梁稳根先生  63,"三一
行业：重型机械"
2019,81,￥ 350 亿,-2,欧宗荣家族先生  55,"正荣
行业：房地产"
2019,81,￥ 350 亿,-16,张茵家族女士  62,"玖龙纸业
行业：环保造纸"
2019,85,￥ 345 亿,-28,周群飞、郑俊龙夫妇女士  49、先生  47,"蓝思科技
行业：电子器件制造"
2019,86,￥ 340 亿,68,丁世家先生  55,"安踏
行业：体育用品"
2019,86,￥ 340 亿,-4,吕向阳、张长虹夫妇先生  56、女士  58,"融捷投资
行业：投资"
2019,86,￥ 340 亿,3,魏建军、韩雪娟夫妇先生  55、女士  53,"长城
行业：汽车"
2019,86,￥ 340 亿,-10,张峻、陶美萦夫妇先生  未知、女士  未知,"富德
行业：金融、房地产"
2019,90,￥ 335 亿,355,岑均达先生  未知,"恒瑞制药、翰森制药
行业：医药"
2019,91,￥ 330 亿,-9,陈红天家族先生  60,"祥祺
行业：投资、房地产"
2019,91,￥ 330 亿,17,赖梅松先生  49,"中通
行业：物流"
2019,93,￥ 325 亿,-11,傅军先生  62,"新华联
行业：房地产、矿业、投资"
2019,94,￥ 320 亿,80,程雪女士  49,"海天味业
行业：食品"
2019,94,￥ 320 亿,-12,冯海良先生  59,"海亮
行业：铜加工、投资"
2019,96,￥ 315 亿,3,陈发树先生  58,"新华都
行业：医药、零售、投资"
2019,96,￥ 315 亿,3,王传福先生  53,"比亚迪
行业：汽车、充电电池"
2019,98,￥ 310 亿,10,李文斌家族先生  44,"俊发
行业：房地产"
2019,98,￥ 310 亿,-16,赵涛家族先生  53,"步长
行业：医药"
2019,100,￥ 300 亿,-1,陈金霞女士  51,"涌金投资
行业：医药、投资"
2019,100,￥ 300 亿,15,杜厦家族先生  72,"太平洋联盟
行业：投资、高尔夫"
2019,100,￥ 300 亿,39,黄楚龙先生  60,"星河
行业：房地产、投资"
2019,100,￥ 300 亿,-11,朱鼎健家族先生  45,"观澜湖
行业：房地产"
2019,100,￥ 300 亿,51,李革、赵宁夫妇先生  52、女士  53,"药明康德
行业：医药"
2019,100,￥ 300 亿,-1,缪寿良先生  64,"富源
行业：房地产、水电、新能源"
2019,100,￥ 300 亿,15,沈南鹏先生  52,"红杉
行业：投资"
2019,100,￥ 300 亿,-5,宋作文家族先生  72,"南山
行业：铝业、纺织、房地产"
2019,100,￥ 300 亿,-57,孙广信先生  57,"广汇
行业：汽车销售、能源、房地产"
2019,100,￥ 300 亿,-69,王清涛先生  57,"中融新大
行业：煤焦"
2019,100,￥ 300 亿,-5,詹克团先生  40,"比特大陆
行业：芯片、矿机"
2019,100,￥ 300 亿,5,张刚家族先生  38,"信发铝电
行业：电解铝、氧化铝"
2019,112,￥ 295 亿,-13,朱孟依家族先生  60,"合生创展
行业：房地产、投资"
2019,113,￥ 290 亿,0,胡凯军先生  57,"远大
行业：医药"
2019,113,￥ 290 亿,-34,于泳先生  未知,"鸿商产业
行业：钼矿"
2019,115,￥ 280 亿,0,黄如论家族先生  68,"世纪金源
行业：房地产"
2019,115,￥ 280 亿,18,王振华、王晓松父子先生  57、先生  32,"新城
行业：房地产"
2019,117,￥ 275 亿,94,曾芳勤女士  54,"领益智造
行业：消费电子精密件"
2019,118,￥ 265 亿,36,王来春女士  52,"立讯精密
行业：电脑连接线"
2019,118,￥ 265 亿,36,王来胜先生  55,"立讯精密
行业：电脑连接线"
2019,120,￥ 260 亿,16,陈华、陈家荣父子先生  53、先生  未知,"京基
行业：房地产"
2019,120,￥ 260 亿,54,缪汉根、朱红梅夫妇先生  54、女士  56,"盛虹
行业：印染、化纤、房地产"
2019,120,￥ 260 亿,16,沈文荣先生  73,"沙钢
行业：钢铁"
2019,123,￥ 255 亿,140,高德康、梅冬夫妇先生  67、女士  51,"波司登
行业：服装"
2019,124,￥ 250 亿,22,耿建明、杨小青夫妇先生  57、女士  未知,"荣盛
行业：房地产"
2019,124,￥ 250 亿,230,何小鹏先生  42,"小鹏汽车
行业：电动汽车"
2019,124,￥ 250 亿,181,林印孙先生  55,"正邦
行业：饲料、养殖"
2019,124,￥ 250 亿,-2,肖建华家族先生  48,"明天
行业：金融、投资"
2019,124,￥ 250 亿,57,张志祥先生  52,"建龙
行业：钢铁、矿业、船运"
2019,124,￥ 250 亿,30,赵伟国先生  52,"健坤投资
行业：投资"
2019,130,￥ 245 亿,16,钭正刚、尉雪凤夫妇先生  66、女士  未知,"锦江
行业：能源、化工"
2019,130,￥ 245 亿,81,杜伟民先生  56,"康泰生物
行业：生物制品"
2019,130,￥ 245 亿,51,林中家族先生  51,"旭辉
行业：房地产"
2019,133,￥ 240 亿,30,李锂、李坦夫妇先生  55、女士  55,"海普瑞
行业：医药"
2019,133,￥ 240 亿,71,李贤义、董系治夫妇先生  67、女士  未知,"信义玻璃
行业：玻璃"
2019,133,￥ 240 亿,New ~,潘苏通先生  56,"高银
行业：房地产、金融"
2019,133,￥ 240 亿,-18,邱光和家族先生  68,"森马
行业：服装"
