年份,排名,财富,排名变化,个人信息,企业信息
2016,1,￥ 2150 亿,0,王健林家族先生  62,"万达
行业：房地产、文化"
2016,2,￥ 2050 亿,0,马云家族先生  52,"阿里巴巴、蚂蚁金服
行业：电子商务、金融服务"
2016,3,￥ 1650 亿,1,马化腾先生  45,"腾讯
行业：IT、娱乐"
2016,4,￥ 1150 亿,227,姚振华先生  46,"宝能
行业：投资、房地产"
2016,5,￥ 1120 亿,-2,宗庆后家族先生  71,"娃哈哈
行业：饮料"
2016,6,￥ 1000 亿,0,严昊家族先生  30,"苏太华系
行业：基础建设"
2016,6,￥ 1000 亿,10,丁磊先生  45,"网易
行业：IT、娱乐"
2016,8,￥ 980 亿,-1,李彦宏、马东敏夫妇先生  48、女士  46,"百度
行业：搜索引擎"
2016,9,￥ 850 亿,-1,卢志强家族先生  64,"泛海
行业：房地产、金融、投资"
2016,10,￥ 780 亿,3,许家印先生  58,"恒大
行业：房地产、投资"
2016,10,￥ 780 亿,3,何享健、何剑锋父子先生  74、先生  49,"美的
行业：家电制造"
2016,10,￥ 780 亿,0,严彬先生  62,"华彬
行业：饮料、地产、投资"
2016,10,￥ 780 亿,-1,张近东先生  53,"苏宁
行业：零售、房地产"
2016,14,￥ 650 亿,1,王文银、刘结红夫妇先生  48、女士  未知,"正威
行业：有色金属、半导体"
2016,14,￥ 650 亿,-9,雷军先生  47,"小米
行业：手机制造、投资"
2016,16,￥ 610 亿,4,张士平家族先生  未知,"魏桥创业
行业：纺织、铝业"
2016,17,￥ 560 亿,14,张志东先生  44,"腾讯
行业：IT、娱乐"
2016,18,￥ 550 亿,-8,鲁冠球家族先生  71,"万向
行业：汽车制造业、房地产、农业"
2016,19,￥ 540 亿,14,史玉柱家族先生  54,"巨人
行业：金融、在线游戏、投资"
2016,20,￥ 505 亿,-1,陈丽华女士  75,"富华
行业：房地产、紫檀博物馆"
2016,21,￥ 500 亿,20,许荣茂家族先生  66,"世茂
行业：房地产"
2016,22,￥ 485 亿,8,杨惠妍女士  35,"碧桂园
行业：房地产"
2016,22,￥ 485 亿,-1,王文学先生  49,"华夏幸福
行业：房地产"
2016,24,￥ 470 亿,5,刘永行家族先生  68,"东方希望
行业：氧化铝、重化工、饲料"
2016,25,￥ 460 亿,-8,周群飞、郑俊龙夫妇女士  46、先生  44,"蓝思科技
行业：电子器件制造"
2016,26,￥ 455 亿,2,刘强东先生  42,"京东
行业：电子商务"
2016,27,￥ 450 亿,235,许世辉家族先生  59,"达利食品
行业：食品"
2016,28,￥ 445 亿,-11,郭广昌先生  49,"复星
行业：投资、钢铁、医药"
2016,28,￥ 445 亿,55,孙飘扬、钟慧娟夫妇先生  58、女士  55,"恒瑞制药、豪森制药
行业：医药"
2016,30,￥ 425 亿,-5,刘永好家族先生  65,"新希望
行业：农业、化工、金融"
2016,31,￥ 420 亿,-6,贾跃亭先生  43,"乐视
行业：影视娱乐、IT"
2016,32,￥ 400 亿,-20,李河君先生  49,"汉能
行业：太阳能、风电、水电"
2016,32,￥ 400 亿,5,袁亚非先生  52,"三胞
行业：IT连锁、房地产、投资"
2016,32,￥ 400 亿,1,李金元先生  58,"天狮
行业：保健品"
2016,32,￥ 400 亿,1419,肖建华、周虹文家族先生  45、女士  46,"明天
行业：金融、投资"
2016,36,￥ 395 亿,-4,魏建军、韩雪娟夫妇先生  52、女士  50,"长城
行业：汽车"
2016,37,￥ 370 亿,12,王玉锁、赵宝菊夫妇先生  52、女士  51,"新奥
行业：天然气、能源化工"
2016,38,￥ 365 亿,63,潘政民、吴春媛夫妇先生  49、女士  未知,"瑞声科技
行业：声学科技"
2016,39,￥ 360 亿,3,吕向阳、张长虹夫妇先生  53、女士  55,"融捷投资
行业：投资"
2016,39,￥ 360 亿,6,龚虹嘉、陈春梅夫妇先生  51、女士  51,"海康威视
行业：视频监控产品"
2016,41,￥ 355 亿,-5,王传福先生  50,"比亚迪
行业：汽车、手机零部件、充电电池"
2016,41,￥ 355 亿,-17,周建平家族先生  55,"海澜
行业：服装、投资"
2016,43,￥ 350 亿,124,江南春先生  43,"分众传媒
行业：数字新媒体、投资"
2016,44,￥ 345 亿,76,刘益谦家族先生  53,"新理益
行业：投资"
2016,45,￥ 340 亿,-20,孙广信先生  54,"广汇
行业：汽车销售、能源、房地产"
2016,46,￥ 330 亿,1,马兴田家族先生  47,"康美药业
行业：医药"
2016,46,￥ 330 亿,14,吴亚军家族女士  52,"龙湖
行业：房地产"
2016,48,￥ 320 亿,-15,梁稳根先生  60,"三一
行业：重型机械"
2016,49,￥ 310 亿,13,张茵家族女士  59,"玖龙纸业
行业：环保"
2016,50,￥ 305 亿,29,李书福、李星星父子先生  53、先生  31,"吉利控股
行业：汽车制造"
2016,50,￥ 305 亿,15,孙喜双先生  63,"一方
行业：房地产、投资"
2016,50,￥ 305 亿,156,阎志先生  44,"卓尔
行业：房地产、投资"
