年份,排名,财富,排名变化,个人信息,企业信息
2012,1,￥ 800 亿,1,宗庆后家族先生  67,"娃哈哈
行业：饮料"
2012,2,￥ 650 亿,4,王健林先生  58,"万达
行业：房地产、文化产业"
2012,3,￥ 510 亿,0,李彦宏先生  44,"百度
行业：搜索引擎"
2012,4,￥ 500 亿,0,严彬先生  58,"华彬
行业：饮料、文体、地产、投资"
2012,5,￥ 460 亿,-4,梁稳根先生  56,"三一
行业：重型机械"
2012,6,￥ 450 亿,2,刘永行家族先生  64,"东方希望
行业：氧化铝、重化工、饲料"
2012,7,￥ 410 亿,6,马化腾先生  41,"腾讯
行业：即时通讯、门户网站、在线游戏、C2C"
2012,8,￥ 380 亿,-1,吴亚军家族女士  48,"龙湖地产
行业：房地产"
2012,9,￥ 350 亿,-4,许家印先生  54,"恒大地产
行业：房地产、投资"
2012,10,￥ 340 亿,6,陈丽华女士  71,"富华
行业：房地产、紫檀博物馆"
2012,11,￥ 330 亿,-1,杨惠妍家族女士  31,"碧桂园
行业：房地产"
2012,12,￥ 300 亿,7,卢志强先生  60,"泛海控股
行业：房地产、金融、投资"
2012,12,￥ 300 亿,19,许荣茂家族先生  62,"世茂
行业：房地产"
2012,14,￥ 280 亿,-1,沈文荣先生  66,"沙钢
行业：钢铁"
2012,14,￥ 280 亿,5,刘永好家族先生  61,"新希望
行业：农业、食品、化工、房地产、金融"
2012,14,￥ 280 亿,20,李金元先生  54,"天狮
行业：保健品"
2012,17,￥ 270 亿,2,孙广信先生  50,"广汇
行业：房地产、汽车连锁、天然气、煤炭"
2012,18,￥ 260 亿,1,鲁冠球家族先生  67,"万向集团
行业：汽车制造业、房地产、农业、有色金属、金融"
2012,19,￥ 250 亿,0,张士平家族先生  未知,"魏桥创业
行业：纺织、铝业"
2012,19,￥ 250 亿,15,丁磊先生  41,"网易
行业：门户网站、在线游戏"
2012,21,￥ 235 亿,-10,张近东先生  49,"苏宁电器
行业：家电零售、房地产"
2012,22,￥ 220 亿,6,朱孟依家族先生  53,"合生创展、珠江投资
行业：房地产"
2012,22,￥ 220 亿,11,童锦泉先生  57,"长峰房地产
行业：房地产"
2012,24,￥ 215 亿,3,陈卓林家族先生  50,"雅居乐
行业：房地产"
2012,25,￥ 210 亿,-16,何享健家族先生  70,"美的集团
行业：家电"
2012,25,￥ 210 亿,-9,黄光裕家族先生  43,"鹏润投资
行业：家电零售、房地产、投资"
2012,27,￥ 205 亿,-9,周成建家族先生  47,"美特斯邦威
行业：服装"
2012,27,￥ 205 亿,1,陈发树家族先生  51,"新华都
行业：零售、金矿、旅游、酒、房地产"
2012,29,￥ 200 亿,-5,张茵家族女士  55,"玖龙纸业
行业：造纸"
2012,29,￥ 200 亿,41,姜滨家族先生  46,"歌尔声学
行业：声学及多媒体产品"
2012,31,￥ 190 亿,-7,黄伟、李萍夫妇先生  53、女士  未知,"新湖集团
行业：房地产、金融"
2012,31,￥ 190 亿,6,潘石屹、张欣夫妇先生  49、女士  47,"SOHO中国
行业：房地产"
2012,33,￥ 185 亿,-22,李水荣家族先生  56,"荣盛控股
行业：化纤、房地产、物流、投资"
2012,33,￥ 185 亿,-7,杜双华先生  47,"日照钢铁
行业：钢铁、投资"
2012,35,￥ 180 亿,-1,荣智健先生  70,"中信泰富
行业：综合"
2012,35,￥ 180 亿,7,史玉柱家族先生  50,"巨人
行业：在线游戏、金融、投资"
2012,35,￥ 180 亿,13,黄世再家族先生  61,"大中华国际
行业：房地产、投资"
2012,35,￥ 180 亿,13,叶立培先生  68,"仲盛
行业：房地产"
2012,35,￥ 180 亿,220,魏建军先生  48,"长城汽车
行业：汽车"
2012,40,￥ 175 亿,8,王玉锁、赵宝菊夫妇先生  48、女士  47,"新奥
行业：天然气、能源化工、房地产、生物制药"
2012,40,￥ 175 亿,18,龚虹嘉、陈春梅夫妇先生  47、女士  47,"海康威视
行业：视频监控产品"
2012,42,￥ 170 亿,6,梁庆德家族先生  75,"格兰仕
行业：家电"
2012,43,￥ 160 亿,-6,祝义财、吴学琴夫妇先生  48、女士  未知,"雨润
行业：食品、房地产"
2012,44,￥ 155 亿,14,施文博先生  62,"恒安集团
行业：个人护理用品"
2012,44,￥ 155 亿,36,朱兴良家族先生  53,"金螳螂
行业：建筑"
2012,46,￥ 150 亿,-6,沈国军先生  50,"银泰
行业：零售、房地产"
2012,46,￥ 150 亿,-3,高彦明先生  55,"河北远洋
行业：远洋运输"
2012,46,￥ 150 亿,2,黄如论先生  61,"世纪金源
行业：房地产、金融、矿产"
2012,46,￥ 150 亿,2,朱林瑶女士  42,"华宝国际
行业：香精香料"
