年份,排名,财富,排名变化,个人信息,企业信息
2021,1,￥ 3900 亿,2,钟睒睒先生  67,"养生堂
行业：饮料、医疗保健"
2021,2,￥ 3400 亿,28,张一鸣先生  38,"字节跳动
行业：社交媒体"
2021,3,￥ 3200 亿,21,曾毓群先生  53,"宁德时代
行业：锂电池"
2021,4,￥ 3170 亿,-2,马化腾先生  50,"腾讯
行业：互联网服务"
2021,5,￥ 2550 亿,-4,马云先生  57,"阿里系
行业：电子商务、金融科技"
2021,6,￥ 2290 亿,2,黄峥先生  41,"拼多多
行业：购物网站"
2021,7,￥ 2180 亿,89,魏建军、韩雪娟先生  57、女士  55,"长城
行业：汽车制造"
2021,8,￥ 2150 亿,New ~,李嘉诚先生  93,"长江实业
行业：投资"
2021,9,￥ 2130 亿,-3,何享健先生  79,"美的
行业：家电制造、房地产"
2021,10,￥ 1930 亿,-6,王卫先生  51,"顺丰
行业：快递"
2021,11,￥ 1850 亿,-5,杨惠妍女士  40,"碧桂园
行业：房地产、教育"
2021,12,￥ 1790 亿,8,陈建华、范红卫先生  50、女士  54,"恒力
行业：化纤、石化、房地产"
2021,13,￥ 1750 亿,11,李书福先生  58,"吉利
行业：汽车制造"
2021,14,￥ 1710 亿,-6,丁磊先生  50,"网易
行业：互联网技术"
2021,15,￥ 1700 亿,New ~,李兆基先生  93,"恒基兆业
行业：房地产"
2021,15,￥ 1700 亿,-5,秦英林、钱瑛先生  56、女士  55,"牧原
行业：畜牧"
2021,17,￥ 1580 亿,-6,庞康先生  65,"海天味业
行业：调味品"
2021,18,￥ 1550 亿,New ~,郑家纯先生  73,"周大福
行业：房地产"
2021,19,￥ 1460 亿,-6,王兴先生  42,"美团
行业：生活服务"
2021,20,￥ 1420 亿,63,王传福先生  55,"比亚迪
行业：汽车、充电电池"
2021,21,￥ 1400 亿,-1,蒋仁生先生  68,"智飞生物
行业：疫苗"
2021,21,￥ 1400 亿,-8,雷军先生  52,"小米
行业：智能硬件与技术、投资"
2021,21,￥ 1400 亿,220,罗立国先生  65,"合盛
行业：硅材料"
2021,24,￥ 1380 亿,51,黄世霖先生  54,"宁德时代
行业：锂电池"
2021,25,￥ 1360 亿,59,吕向阳、张长虹先生  58、女士  60,"融捷
行业：投资"
2021,26,￥ 1350 亿,15,陈邦先生  56,"爱尔眼科
行业：医疗服务"
2021,26,￥ 1350 亿,-10,刘强东、章泽天先生  47、女士  28,"京东
行业：电子商务、金融"
2021,28,￥ 1300 亿,2,刘永行、刘相宇先生  73、先生  46,"东方希望
行业：氧化铝、重化工、饲料"
2021,29,￥ 1270 亿,-16,张志东先生  49,"腾讯
行业：互联网服务"
2021,30,￥ 1250 亿,38,李小冬先生  43,"冬海集团
行业：网络游戏、电商"
2021,30,￥ 1250 亿,33,刘汉元、管亚梅先生  57、女士  未知,"通威
行业：新能源、农业"
2021,30,￥ 1250 亿,-12,严昊先生  35,"太平洋建设
行业：基础建设"
2021,33,￥ 1200 亿,New ~,李蔡美灵先生  未知,"李锦记
行业：食品加工"
2021,33,￥ 1200 亿,3,宗庆后先生  76,"娃哈哈
行业：饮料"
2021,35,￥ 1180 亿,-11,徐航先生  59,"迈瑞、鹏瑞
行业：医疗器械、房地产"
2021,36,￥ 1160 亿,0,王文银先生  53,"正威
行业：有色金属"
2021,37,￥ 1150 亿,-10,李西廷先生  70,"迈瑞
行业：医疗器械"
2021,37,￥ 1150 亿,-7,严彬先生  67,"华彬
行业：饮料、地产"
2021,39,￥ 1100 亿,New ~,吴光正先生  75,"会德丰
行业：房地产"
2021,40,￥ 1080 亿,-17,许荣茂先生  71,"世茂
行业：房地产"
2021,41,￥ 1050 亿,-25,刘永好先生  70,"新希望
行业：农业、化工、金融"
2021,41,￥ 1050 亿,-11,王健林先生  67,"万达
行业：房地产、文化"
2021,43,￥ 1030 亿,14,李水荣先生  65,"荣盛控股
行业：化纤"
2021,43,￥ 1030 亿,16,郑淑良先生  75,"魏桥创业
行业：铝业、纺织"
2021,45,￥ 1000 亿,5,党彦宝先生  48,"宝丰
行业：煤化工"
2021,46,￥ 950 亿,17,陈东升先生  64,"泰康
行业：保险"
2021,46,￥ 950 亿,-16,吴亚军女士  57,"龙湖
行业：房地产"
2021,46,￥ 950 亿,-35,张勇、舒萍先生  50、女士  51,"海底捞
行业：餐饮"
2021,49,￥ 920 亿,106,裴振华、容建芬先生  未知、女士  未知,"天华超净
行业：超净产品"
2021,50,￥ 905 亿,-20,袁征先生  51,"zoom
行业：视频软件"
2021,51,￥ 900 亿,-1,龚虹嘉、陈春梅先生  56、女士  56,"海康威视
行业：视频监控产品"
2021,51,￥ 900 亿,New ~,刘銮雄先生  70,"华人置业
行业：房地产"
2021,51,￥ 900 亿,17,其实先生  51,"东方财富
行业：信息服务"
2021,54,￥ 885 亿,36,李振国、李喜燕先生  53、女士  53,"隆基
行业：硅材料"
2021,55,￥ 880 亿,36,徐浩宇先生  49,"扬子江药业
行业：医药"
2021,55,￥ 880 亿,New ~,张聪渊先生  73,"华利实业
行业：鞋业"
2021,57,￥ 855 亿,56,林建华、张虹先生  59、女士  61,"福斯特
行业：光伏材料"
2021,58,￥ 845 亿,8,汪立平先生  55,"恒立液压
行业：高压油缸"
2021,59,￥ 840 亿,-11,李彦宏、马东敏先生  53、女士  51,"百度
行业：网络信息服务"
2021,60,￥ 820 亿,-10,马建荣先生  56,"申洲针织
行业：纺织、服装"
2021,61,￥ 810 亿,-15,林立先生  58,"立业
行业：投资"
2021,61,￥ 810 亿,-34,周群飞、郑俊龙女士  51、先生  49,"蓝思科技
行业：电子器件制造"
2021,63,￥ 800 亿,125,缪汉根、朱红梅先生  56、女士  58,"盛虹
行业：印染、化纤、房地产"
2021,63,￥ 800 亿,12,虞仁荣先生  55,"韦尔股份
行业：半导体"
2021,65,￥ 780 亿,-15,王玉锁、赵宝菊先生  57、女士  56,"新奥
行业：天然气、能源化工"
2021,66,￥ 770 亿,35,丁世忠先生  51,"安踏
行业：体育用品"
2021,67,￥ 760 亿,39,丁世家先生  57,"安踏
行业：体育用品"
2021,68,￥ 750 亿,New ~,吕志和先生  92,"银河
行业：博彩"
2021,69,￥ 740 亿,54,于泳先生  未知,"鸿商产业
行业：钼矿"
2021,70,￥ 730 亿,-65,许家印先生  63,"恒大
行业：房地产、投资"
2021,71,￥ 725 亿,68,李晓明先生  63,"恩捷股份
行业：包装盒生产"
2021,72,￥ 720 亿,-4,张刚先生  40,"信发铝电
行业：电解铝、氧化铝"
2021,73,￥ 710 亿,22,朱孟依先生  62,"合生创展
行业：房地产、投资"
2021,74,￥ 705 亿,-20,李华先生  55,"卓越
行业：房地产"
2021,75,￥ 700 亿,New ~,邝肖卿女士  92,"新鸿基
行业：房地产"
2021,75,￥ 700 亿,12,李革、赵宁先生  54、女士  55,"药明康德
行业：医药"
2021,75,￥ 700 亿,70,叶刚先生  40,"冬海集团
行业：网络游戏、电商"
2021,75,￥ 700 亿,-55,钟慧娟女士  60,"翰森
行业：医药"
2021,79,￥ 695 亿,45,刘金成、骆锦红先生  57、女士  54,"亿纬锂能
行业：锂电池"
2021,80,￥ 675 亿,16,李贤义先生  69,"信义
行业：玻璃"
2021,80,￥ 675 亿,-53,孙飘扬先生  63,"恒瑞
行业：医药"
2021,82,￥ 670 亿,-4,梁稳根先生  65,"三一
行业：重型机械"
2021,83,￥ 660 亿,267,蒋卫平先生  66,"天齐
行业：锂矿"
2021,84,￥ 650 亿,439,曹仁贤先生  53,"阳光电源
行业：光伏设备"
2021,85,￥ 645 亿,New ~,邓伟明、吴小歌先生  53、女士  49,"中伟股份
行业：工业产品"
2021,86,￥ 640 亿,120,李平先生  53,"宁德时代
行业：锂电池"
2021,87,￥ 630 亿,New ~,蔡崇信先生  57,"阿里系
行业：电子商务、金融科技"
2021,88,￥ 620 亿,-4,杜双华先生  56,"日照钢铁
行业：钢铁"
2021,89,￥ 605 亿,-30,陈志平先生  45,"思摩尔
行业：电子烟"
2021,90,￥ 600 亿,-36,朱保国先生  59,"健康元
行业：医药"
2021,91,￥ 595 亿,-19,郭广昌先生  54,"复星
行业：投资"
2021,91,￥ 595 亿,15,姚良松先生  57,"欧派家居
行业：橱柜"
2021,93,￥ 590 亿,New ~,郭台铭先生  71,"鸿海
行业：电子制造"
2021,93,￥ 590 亿,-22,黄楚龙先生  62,"星河
行业：房地产、投资"
2021,95,￥ 580 亿,-16,陈丽华女士  80,"富华
行业：房地产、紫檀博物馆"
2021,95,￥ 580 亿,New ~,杜纪川先生  80,"金士顿科技
行业：半导体"
2021,95,￥ 580 亿,New ~,孙大卫先生  70,"金士顿科技
行业：半导体"
2021,95,￥ 580 亿,-36,谢炳先生  69,"中生制药
行业：医药"
2021,99,￥ 575 亿,-25,沈国军先生  59,"银泰
行业：零售、房地产、物流"
2021,100,￥ 570 亿,-4,何小鹏先生  44,"小鹏汽车
行业：新能源汽车"
2021,100,￥ 570 亿,New ~,霍斯特·帕德威尔先生  76,"创科实业
行业：消费品"
2021,100,￥ 570 亿,250,钱东奇、钱程先生  63、先生  未知,"科沃斯
行业：机器人"
2021,100,￥ 570 亿,97,阮洪良先生  60,"福莱特
行业：玻璃"
2021,104,￥ 565 亿,-10,赵燕女士  54,"华熙国际
行业：生物医药、房地产"
2021,105,￥ 555 亿,-61,王来胜、王雅媛先生  57、女士  29,"立讯精密
行业：消费电子"
2021,106,￥ 550 亿,-47,蔡奎先生  60,"龙湖
行业：房地产"
2021,106,￥ 550 亿,171,靳保芳先生  69,"晶澳科技
行业：光伏"
2021,108,￥ 545 亿,251,李良彬先生  54,"赣锋锂业
行业：有色金属冶炼加工"
2021,109,￥ 540 亿,New ~,李晓华先生  59,"恩捷股份
行业：包装盒生产"
2021,110,￥ 535 亿,-53,程雪女士  51,"海天味业
行业：调味品"
2021,110,￥ 535 亿,-38,林斌先生  53,"小米
行业：智能硬件与技术"
2021,110,￥ 535 亿,-66,王来春女士  54,"立讯精密
行业：消费电子"
2021,110,￥ 535 亿,513,徐金富先生  57,"天赐材料
行业：化学原料制品"
2021,114,￥ 520 亿,96,高德康先生  69,"波司登
行业：服装"
2021,114,￥ 520 亿,137,赵长鹏先生  44,"币安
行业：区块链"
2021,116,￥ 510 亿,-1,方威先生  48,"方大
行业：碳素、钢铁、煤焦"
2021,117,￥ 500 亿,-15,陈天桥、雒芊芊先生  48、女士  未知,"盛大
行业：投资"
2021,118,￥ 500 亿,-39,陈发树先生  60,"新华都
行业：医药、零售、投资"
2021,118,￥ 500 亿,-25,姜滨、胡双美先生  55、女士  55,"歌尔股份
行业：声学及多媒体产品"
2021,118,￥ 500 亿,405,赖海民先生  55,"鸿荣源
行业：房地产"
2021,118,￥ 500 亿,149,梁丰、邵晓梅先生  53、女士  未知,"璞泰来
行业：锂电池材料"
2021,122,￥ 490 亿,-20,鲁伟鼎先生  50,"万向
行业：汽车制造业、房地产、农业"
2021,122,￥ 490 亿,33,朱林瑶女士  51,"华宝国际
行业：香精香料、烟草"
2021,124,￥ 485 亿,-105,鲁忠芳、李永新女士  79、先生  45,"中公教育
行业：教育"
2021,125,￥ 480 亿,New ~,郭炳联先生  69,"新鸿基
行业：房地产"
2021,125,￥ 480 亿,-82,施永宏、李海燕先生  51、女士  未知,"海底捞
行业：餐饮"
2021,125,￥ 480 亿,36,汪俊林先生  59,"郎酒
行业：房地产、白酒"
2021,125,￥ 480 亿,-34,汪滔先生  41,"大疆
行业：无人机"
2021,129,￥ 475 亿,221,唐金奎、朱玉琴先生  66、女士  未知,"盛虹
行业：印染、化纤、房地产"
2021,129,￥ 475 亿,-66,王文京先生  57,"用友
行业：软件与信息服务"
2021,129,￥ 475 亿,-27,张茵女士  64,"玖龙纸业
行业：环保造纸"
2021,132,￥ 470 亿,New ~,郭基辉先生  38,"新鸿基
行业：房地产"
2021,132,￥ 470 亿,428,杨建良先生  52,"上机数控
行业：设备制造"
2021,134,￥ 460 亿,-38,阮立平先生  57,"公牛
行业：插座"
2021,134,￥ 460 亿,-38,阮学平先生  49,"公牛
行业：插座"
2021,136,￥ 455 亿,-61,冷友斌先生  52,"中国飞鹤
行业：乳业"
2021,137,￥ 450 亿,84,李斌先生  47,"蔚来、易车
行业：电动车"
