年份,排名,财富,排名变化,个人信息,企业信息
2011,1,￥ 700 亿,3,梁稳根先生  55,"三一
行业：重型机械"
2011,2,￥ 680 亿,-1,宗庆后家族先生  66,"娃哈哈
行业：饮料"
2011,3,￥ 560 亿,2,李彦宏先生  43,"百度
行业：搜索引擎"
2011,4,￥ 500 亿,1,严彬先生  57,"华彬
行业：饮料、文体、地产、投资"
2011,5,￥ 460 亿,20,许家印先生  53,"恒大
行业：房地产、投资"
2011,6,￥ 450 亿,1,王健林先生  57,"万达
行业：房地产、文化产业"
2011,7,￥ 420 亿,8,吴亚军家族女士  47,"龙湖地产
行业：房地产"
2011,8,￥ 410 亿,-1,刘永行家族先生  63,"东方希望
行业：氧化铝、重化工、饲料"
2011,9,￥ 400 亿,9,何享健家族先生  69,"美的
行业：家电"
2011,10,￥ 360 亿,11,杨惠妍家族女士  30,"碧桂园
行业：房地产"
2011,11,￥ 350 亿,286,李水荣家族先生  55,"荣盛控股
行业：化纤、房地产、物流、投资"
2011,11,￥ 350 亿,-4,张近东先生  48,"苏宁电器
行业：家电零售、房地产"
2011,13,￥ 340 亿,-2,马化腾先生  40,"腾讯
行业：即时通讯、门户网站、在线游戏、C2C"
2011,13,￥ 340 亿,155,邱光和家族先生  60,"森马
行业：服装"
2011,13,￥ 340 亿,0,沈文荣先生  65,"沙钢
行业：钢铁"
2011,16,￥ 330 亿,0,陈丽华女士  70,"富华
行业：房地产、紫檀博物馆"
2011,16,￥ 330 亿,5,黄光裕家族先生  42,"鹏润投资
行业：家电零售、房地产、投资"
2011,18,￥ 320 亿,7,周成建家族先生  46,"美特斯邦威
行业：服装"
2011,19,￥ 300 亿,-1,刘永好家族先生  60,"新希望
行业：农业、食品、化工、房地产、金融"
2011,19,￥ 300 亿,6,卢志强先生  59,"泛海建设
行业：房地产、金融、投资"
2011,19,￥ 300 亿,-6,鲁冠球家族先生  66,"万向
行业：汽车制造业、房地产、农业、有色金属、金融"
2011,19,￥ 300 亿,6,孙广信先生  49,"广汇
行业：房地产、汽车服务、天然气、零售"
2011,19,￥ 300 亿,201,张士平家族先生  未知,"魏桥创业
行业：纺织、铝业"
2011,24,￥ 280 亿,5,黄伟、李萍夫妇先生  52、女士  未知,"新湖
行业：房地产、金融"
2011,24,￥ 280 亿,-21,张茵家族女士  54,"玖龙纸业
行业：包装纸"
2011,26,￥ 270 亿,3,杜双华先生  46,"日照钢铁
行业：钢铁、投资"
