年份,排名,财富,排名变化,个人信息,企业信息
2014,1,￥ 1500 亿,28,马云家族先生  50,"阿里巴巴
行业：电子商务"
2014,2,￥ 1450 亿,-1,王健林家族先生  60,"万达
行业：房地产、文化"
2014,3,￥ 1250 亿,80,李河君先生  47,"汉能
行业：太阳能、风电、水电"
2014,3,￥ 1250 亿,-1,宗庆后家族先生  69,"娃哈哈
行业：饮料"
2014,5,￥ 1085 亿,-2,马化腾先生  43,"腾讯
行业：IT、娱乐"
2014,6,￥ 1050 亿,0,李彦宏、马东敏夫妇先生  46、女士  44,"百度
行业：搜索引擎"
2014,7,￥ 850 亿,40,严介和、严昊父子先生  54、先生  28,"苏太华系
行业：基础建设"
2014,8,￥ 600 亿,-2,严彬先生  60,"华彬
行业：饮料、地产、投资"
2014,9,￥ 530 亿,248,刘强东先生  40,"京东
行业：电子商务"
2014,10,￥ 450 亿,53,雷军先生  45,"小米科技
行业：手机制造、投资"
2014,11,￥ 440 亿,-6,杨惠妍女士  33,"碧桂园
行业：房地产"
2014,11,￥ 440 亿,-2,张近东先生  51,"苏宁云商
行业：家电零售、房地产"
2014,11,￥ 440 亿,11,张士平家族先生  未知,"魏桥创业
行业：纺织、铝业"
2014,14,￥ 430 亿,5,王文银先生  46,"正威
行业：有色金属、半导体"
2014,15,￥ 420 亿,-5,许家印先生  56,"恒大
行业：房地产、投资"
2014,16,￥ 410 亿,0,何享健、何剑锋父子先生  72、先生  47,"美的
行业：家电制造"
2014,17,￥ 400 亿,-5,陈丽华女士  73,"富华
行业：房地产、紫檀博物馆"
2014,17,￥ 400 亿,-9,许荣茂家族先生  64,"世茂
行业：房地产"
2014,19,￥ 395 亿,-1,鲁冠球家族先生  69,"万向
行业：汽车制造业、房地产、农业"
2014,20,￥ 380 亿,-8,刘永行家族先生  66,"东方希望
行业：氧化铝、重化工、饲料"
2014,21,￥ 375 亿,16,张志东先生  42,"腾讯
行业：IT、娱乐"
2014,22,￥ 370 亿,-18,魏建军家族先生  50,"长城汽车
行业：汽车"
2014,23,￥ 355 亿,2,丁磊先生  43,"网易
行业：IT、娱乐"
2014,24,￥ 350 亿,-3,李金元先生  56,"天狮
行业：保健品"
2014,24,￥ 350 亿,-12,卢志强先生  62,"泛海
行业：房地产、金融、投资"
