年份,排名,财富,排名变化,个人信息,企业信息
2025,1,￥ 5300 亿,1,钟睒睒先生  71,"养生堂
行业：饮料、医疗保健"
2025,2,￥ 4700 亿,-1,张一鸣先生  42,"字节跳动
行业：社交媒体"
2025,3,￥ 4650 亿,0,马化腾先生  54,"腾讯
行业：互联网服务"
2025,4,￥ 3300 亿,2,曾毓群先生  57,"宁德时代
行业：锂电池"
2025,5,￥ 3260 亿,14,雷军先生  56,"小米
行业：智能硬件与技术、投资"
2025,6,￥ 3200 亿,0,丁磊先生  54,"网易
行业：互联网技术"
2025,7,￥ 3140 亿,-3,黄峥先生  45,"拼多多
行业：购物网站"
2025,8,￥ 2780 亿,-3,何享健家族先生  83,"美的
行业：家电制造"
2025,9,￥ 2350 亿,-3,李嘉诚、李泽钜父子先生  97、先生  61,"长江实业
行业：投资"
2025,10,￥ 2250 亿,1,李书福家族先生  62,"吉利
行业：汽车制造"
2025,11,￥ 2100 亿,-1,马云家族先生  61,"阿里系
行业：电子商务、投资"
2025,12,￥ 1930 亿,8,张志东先生  53,"腾讯
行业：互联网服务"
2025,13,￥ 1900 亿,1,吕向阳、张长虹夫妇先生  62、女士  64,"融捷
行业：投资"
2025,13,￥ 1900 亿,3,赵长鹏先生  48,"币安
行业：虚拟货币交易所"
2025,13,￥ 1900 亿,7,陈建华、范红卫夫妇先生  54、女士  58,"恒力
行业：化纤、造船、石化、房地产"
2025,16,￥ 1870 亿,0,秦英林、钱瑛夫妇先生  60、女士  59,"牧原
行业：畜牧"
2025,17,￥ 1820 亿,155,王宁家族先生  38,"泡泡玛特
行业：玩具"
2025,18,￥ 1800 亿,-2,王传福先生  59,"比亚迪
行业：汽车、充电电池"
2025,18,￥ 1800 亿,122,陈天石先生  40,"寒武纪
行业：人工智能芯片"
2025,20,￥ 1750 亿,7,郑家纯家族先生  未知,"周大福
行业：珠宝零售"
2025,21,￥ 1600 亿,-10,张刚家族先生  44,"信发铝电
行业：电解铝、氧化铝"
2025,22,￥ 1550 亿,-11,严昊先生  39,"太平洋建设
行业：基础建设"
2025,23,￥ 1500 亿,10,黄世霖先生  58,"宁德时代
行业：锂电池"
2025,24,￥ 1450 亿,-10,李蔡美灵家族先生  未知,"李锦记
行业：调味品"
2025,25,￥ 1410 亿,17,钟慧娟、孙远母女女士  64、女士  38,"翰森
行业：医药"
2025,26,￥ 1300 亿,-3,王卫先生  55,"顺丰
行业：快递"
2025,27,￥ 1280 亿,-5,刘永行、刘相宇父子先生  77、先生  50,"东方希望
行业：氧化铝、重化工、饲料"
2025,28,￥ 1230 亿,51,林斌先生  57,"小米
行业：智能硬件与技术、投资"
2025,29,￥ 1200 亿,11,吕耀东家族未知  未知,"银河
行业：博彩"
2025,30,￥ 1150 亿,-7,魏建军、韩雪娟夫妇先生  61、女士  59,"长城
行业：汽车制造"
2025,30,￥ 1150 亿,44,朱义先生  62,"百利天恒
行业：医药"
2025,32,￥ 1110 亿,24,周群飞、郑俊龙夫妇女士  55、先生  53,"蓝思科技
行业：电子器件制造"
2025,33,￥ 1100 亿,95,汪滔先生  45,"大疆
行业：无人机"
2025,34,￥ 1090 亿,65,其实家族先生  55,"东方财富
行业：金融服务"
2025,35,￥ 1050 亿,-8,党彦宝先生  52,"宝丰
行业：能源"
2025,35,￥ 1050 亿,-5,吴光正家族先生  未知,"会德丰
行业：房地产"
2025,35,￥ 1050 亿,-5,郭台铭先生  未知,"鸿海
行业：消费电子产品"
2025,38,￥ 1000 亿,-12,李西廷先生  74,"迈瑞
行业：医疗器械"
2025,38,￥ 1000 亿,17,孙飘扬先生  67,"恒瑞
行业：医药"
2025,38,￥ 1000 亿,-2,孙大卫先生  74,"金士顿科技
行业：半导体"
2025,38,￥ 1000 亿,-2,杜纪川先生  72,"金士顿科技
行业：半导体"
2025,42,￥ 985 亿,-7,庞康先生  69,"海天味业
行业：调味品"
2025,43,￥ 975 亿,19,岑均达先生  未知,"恒瑞、翰森
行业：医药"
2025,44,￥ 970 亿,-9,李家诚未知  未知,"恒基兆业
行业：房地产"
2025,44,￥ 970 亿,-9,李家杰未知  未知,"恒基兆业
行业：房地产"
2025,46,￥ 950 亿,4,于泳先生  未知,"鸿商产业
行业：钼矿"
2025,46,￥ 950 亿,-3,李泽楷先生  未知,"电讯盈科
行业：电信"
2025,48,￥ 940 亿,-10,林立先生  62,"立业
行业：投资"
2025,49,￥ 920 亿,-17,刘銮雄家族先生  未知,"华人置业
行业：房地产"
2025,50,￥ 910 亿,24,林木勤、林煜鹏父子先生  61、先生  未知,"东鹏饮料
行业：食品饮料"
2025,51,￥ 875 亿,-17,王兴先生  46,"美团
行业：生活服务"
2025,51,￥ 875 亿,69,李小冬先生  47,"冬海集团
行业：网络游戏、电商"
2025,51,￥ 875 亿,-13,宗馥莉女士  未知,"娃哈哈
行业：饮料"
2025,54,￥ 860 亿,22,汪立平家族先生  59,"恒立液压
行业：高压油缸"
2025,55,￥ 855 亿,4,王来春女士  58,"立讯精密
行业：消费电子"
2025,56,￥ 845 亿,1,王来胜、王雅媛父女先生  61、女士  33,"立讯精密
行业：消费电子"
