年份,排名,财富,排名变化,个人信息,企业信息
2005,1,￥ 140 亿,  ,黄光裕先生  36,"鹏润投资集团
行业：家电零售、房地产"
2005,2,￥ 125 亿,  ,严介和先生  45,"中国太平洋建设集团
行业：基础设施建设、工业"
2005,3,￥ 117 亿,  ,陈天桥先生  32,"盛大网络
行业：在线游戏、门户网站"
2005,4,￥ 102 亿,  ,丁磊先生  34,"网易
行业：门户网站、在线游戏"
2005,5,￥ 100 亿,  ,许荣茂先生  55,"世茂集团
行业：上海、北京和福州的房地产"
2005,6,￥ 90 亿,  ,荣智健先生  63,"中信泰富集团
行业：航空、基础设施、房地产和电信"
2005,7,￥ 80 亿,  ,鲁冠球家族先生  60,"万向集团
行业：汽车配件、金融"
2005,8,￥ 65 亿,  ,朱孟依先生  46,"合生创展、珠江投资
行业：房地产"
2005,8,￥ 65 亿,  ,宗庆后先生  60,"娃哈哈集团
行业：软饮料、童装"
2005,10,￥ 63 亿,  ,吕慧、陈宁宁先生  56、女士  34,"香港嘉鑫控股集团
行业：铁矿石贸易、钢铁、投资"
2005,11,￥ 60 亿,  ,李金元先生  47,"天狮集团
行业：保健品"
2005,11,￥ 60 亿,  ,许家印先生  47,"恒大集团
行业：广东房地产、钢铁"
2005,13,￥ 55 亿,  ,郭广昌先生  38,"复星集团
行业：上海房地产、钢材、医药"
2005,13,￥ 55 亿,  ,黄俊钦先生  39,"新恒基集团
行业：房地产"
2005,13,￥ 55 亿,  ,李兆会家族先生  24,"海鑫钢铁
行业：钢铁"
2005,16,￥ 50 亿,  ,陈丽华女士  64,"香港富华国际集团
行业：房地产、紫檀木博物馆"
2005,16,￥ 50 亿,  ,叶立培先生  61,"仲盛集团
行业：上海房地产"
2005,18,￥ 49 亿,  ,李彦宏先生  37,"百度
行业：网络搜索"
2005,18,￥ 49 亿,  ,刘振江、刘方先生  未知、先生  未知,"源信行投资
行业：保险"
2005,20,￥ 47 亿,  ,刘永好先生  54,"新希望集团
行业：农牧业、金融、房地产和化工"
2005,21,￥ 45 亿,  ,刘永行先生  57,"东方希望集团
行业：饲料、电解铝"
2005,21,￥ 45 亿,  ,宋卫平先生  47,"绿城集团
行业：杭州、上海和北京房地产、教育"
2005,23,￥ 43 亿,  ,孙广信先生  43,"广汇集团
行业：液化天然气、汽车贸易与服务、房地产"
2005,24,￥ 42 亿,  ,杜厦先生  58,"家世界集团
行业：零售"
2005,24,￥ 42 亿,  ,朱新礼先生  53,"汇源果汁
行业：饮料"
2005,26,￥ 40 亿,  ,黄茂如先生  40,"茂业集团
行业：房地产、零售"
2005,26,￥ 40 亿,  ,徐明先生  34,"实德集团
行业：塑料建材、足球、金融和石化产品"
2005,26,￥ 40 亿,  ,周泽荣先生  51,"侨鑫集团
行业：广州和澳大利亚房地产、酒店、电信、教育"
2005,29,￥ 38 亿,  ,周建和先生  42,"庄胜集团
行业：北京房地产、酒店和国际贸易"
2005,30,￥ 35 亿,  ,严彬先生  51,"华彬集团
行业：饮料、地产"
2005,30,￥ 35 亿,  ,张志祥先生  38,"建龙钢铁
行业：钢铁"
2005,30,￥ 35 亿,  ,祝义财先生  41,"雨润集团
行业：肉制品、房地产、商业"
2005,33,￥ 33 亿,  ,郭浩家族先生  50,"超大农业
行业：有机农业"
2005,34,￥ 32 亿,  ,明金星先生  47,"大众食品控股
行业：肉制品"
2005,34,￥ 32 亿,  ,沈文荣先生  59,"沙钢集团
行业：钢铁"
2005,36,￥ 30 亿,  ,刘志强、翟美卿先生  41、女士  41,"香江集团
行业：广州房地产、家居零售"
2005,36,￥ 30 亿,  ,卢志强先生  53,"泛海集团
行业：房地产、金融"
2005,36,￥ 30 亿,  ,马云先生  41,"阿里巴巴
行业：电子商务、门户网站"
2005,36,￥ 30 亿,  ,孙宏斌先生  42,"顺驰集团
行业：房地产"
2005,36,￥ 30 亿,  ,童锦泉先生  50,"长峰集团
行业：上海房地产"
2005,36,￥ 30 亿,  ,张茵女士  48,"美国中南控股
行业：包装材料"
2005,36,￥ 30 亿,  ,周庆治先生  50,"南都集团
行业：房地产"
2005,43,￥ 28 亿,  ,戴皓先生  41,"中发实业集团
行业：房地产、保险"
2005,43,￥ 28 亿,  ,高仕军先生  未知,"高力实业集团
行业：房地产"
2005,43,￥ 28 亿,  ,史玉柱先生  43,"上海健特
行业：医药、投资"
2005,43,￥ 28 亿,  ,王张兴先生  38,"家饰佳集团
行业：商业、物业租赁、投资"
2005,43,￥ 28 亿,  ,张力先生  52,"富力集团
行业：房地产"
2005,48,￥ 26 亿,  ,蔡天真先生  44,"泰山石化
行业：石油贸易、运输、仓储、船舶加油"
2005,48,￥ 26 亿,  ,韩敬远先生  49,"中国东方集团
行业：钢铁"
2005,48,￥ 26 亿,  ,缪寿良先生  50,"富源集团
行业：房地产、商业、物业管理、工业、教育等"
2005,48,￥ 26 亿,  ,张荣坤先生  33,"福禧投资控股
行业：基建、投资"
2005,52,￥ 25 亿,  ,陈卓贤家族先生  38,"雅居乐集团
行业：房地产"
2005,52,￥ 25 亿,  ,沈雯先生  47,"紫江集团
行业：包装、上海房地产、精密部件"
2005,52,￥ 25 亿,  ,吴征、杨澜先生  39、女士  37,"阳光媒体投资
行业：媒体"
2005,52,￥ 25 亿,  ,叶祥尧先生  52,"长城电器集团
行业：电器"
2005,56,￥ 24 亿,  ,李书福先生  42,"吉利集团
行业：汽车"
2005,56,￥ 24 亿,  ,刘长乐先生  54,"凤凰卫视
行业：传媒"
2005,56,￥ 24 亿,  ,欧亚平先生  43,"百仕达控股
行业：公用事业、深圳房地产"
2005,56,￥ 24 亿,  ,王玉锁家族先生  41,"新奥集团
行业：城市燃气、房地产"
2005,60,￥ 22 亿,  ,戴志康先生  41,"证大集团
行业：上海、杭州房地产、金融"
2005,60,￥ 22 亿,  ,米恩华先生  47,"华凌集团
行业：商品批发市场、现代化畜牧产业"
2005,60,￥ 22 亿,  ,杨钊兄弟先生  58,"旭日集团
行业：纺织、零售、房地产"
2005,60,￥ 22 亿,  ,张近东先生  42,"苏宁集团
行业：零售"
2005,64,￥ 21 亿,  ,刘绍喜、刘绍生兄弟先生  42、先生  35,"宜华集团
行业：木业、房地产、投资、文化"
2005,64,￥ 21 亿,  ,朱保国先生  43,"健康元药业集团
行业：保健品、医药"
2005,66,￥ 20 亿,  ,车建兴先生  39,"红星家具集团
行业：家具零售"
2005,66,￥ 20 亿,  ,陈华先生  39,"京基集团
行业：房地产"
2005,66,￥ 20 亿,  ,陈晓先生  36,"永乐家电
行业：家电零售"
2005,66,￥ 20 亿,  ,钭正刚先生  52,"锦江集团
行业：垃圾发电、轻纺、药业、造纸"
2005,66,￥ 20 亿,  ,韩国龙家族先生  50,"冠城集团
行业：北京、杭州和福清房地产"
2005,66,￥ 20 亿,  ,李洪信先生  52,"太阳纸业
行业：造纸"
2005,66,￥ 20 亿,  ,梁希森先生  50,"希森集团
行业：房地产"
2005,66,￥ 20 亿,  ,梁信军先生  37,"复星集团
行业：房地产、钢铁、医药、零售、金矿"
2005,66,￥ 20 亿,  ,倪召兴先生  49,"中融集团
行业：房地产"
2005,66,￥ 20 亿,  ,沈国军先生  43,"中国银泰
行业：房地产、零售、金融"
2005,66,￥ 20 亿,  ,王春鸣先生  57,"国栋建设集团
行业：建材、建筑、房地产"
2005,66,￥ 20 亿,  ,王填先生  37,"步步高超市
行业：零售"
2005,66,￥ 20 亿,  ,吴良定家族女士  59,"中宝系企业集团
行业：汽车零部件、机械"
2005,66,￥ 20 亿,  ,杨休先生  44,"天地集团
行业：房地产、高科技、电动车"
2005,66,￥ 20 亿,  ,张涌先生  39,"林凤集团
行业：发电站、房地产"
2005,66,￥ 20 亿,  ,张跃先生  45,"远大空调
行业：中央空调"
2005,82,￥ 19 亿,  ,江南春先生  32,"分众传媒
行业：楼宇广告"
2005,82,￥ 19 亿,  ,李振江先生  48,"神威药业
行业：中药"
2005,82,￥ 19 亿,  ,马化腾先生  34,"腾讯
行业：互联网应用服务、移动应用增值服务"
2005,82,￥ 19 亿,  ,叶选生先生  未知,"三水市正天科技
行业：保险"
2005,86,￥ 18 亿,  ,顾云奎家族先生  68,"永鼎集团
行业：电缆、光缆"
2005,86,￥ 18 亿,  ,李兴浩先生  41,"志高空调
行业：空调"
2005,86,￥ 18 亿,  ,梁庆德家族先生  68,"格兰仕集团
行业：白色家电"
2005,86,￥ 18 亿,  ,刘沧龙、刘海龙先生  未知、先生  56,"宏达集团
行业：投资、房地产、化工"
2005,86,￥ 18 亿,  ,施文博先生  55,"恒安集团
行业：妇女卫生品、纸巾"
2005,86,￥ 18 亿,  ,王树清先生  48,"西郊庄园置业
行业：房地产"
2005,86,￥ 18 亿,  ,徐茂根先生  51,"远东化纤集团
行业：纺织"
2005,86,￥ 18 亿,  ,严晓群先生  39,"斯威特集团
行业：白色家电、集成电路、通信设备"
2005,86,￥ 18 亿,  ,张朝阳先生  41,"搜狐
行业：门户网站、搜索引擎"
2005,86,￥ 18 亿,  ,张大中先生  57,"大中电器
行业：零售"
2005,86,￥ 18 亿,  ,朱志平先生  43,"中国同方控股集团
行业：房地产"
2005,97,￥ 17 亿,  ,黄如论先生  54,"世纪金源集团
行业：房地产"
2005,97,￥ 17 亿,  ,李宁先生  42,"李宁公司
行业：运动用品"
2005,97,￥ 17 亿,  ,李新炎家族先生  54,"中国龙工集团
行业：重型工程车辆"
2005,97,￥ 17 亿,  ,李永军兄弟先生  38,"喜之郎集团
行业：果冻布丁"
2005,97,￥ 17 亿,  ,梁亮胜先生  54,"丝宝集团
行业：洗发水、妇女卫生用品和化妆品"
2005,97,￥ 17 亿,  ,吴瑞林先生  53,"侨兴集团
行业：终端电子产品"
2005,97,￥ 17 亿,  ,许连捷先生  52,"恒安集团
行业：妇女卫生品、纸巾"
2005,97,￥ 17 亿,  ,周福仁先生  54,"西洋集团
行业：化肥、防火材料和钢铁"
2005,105,￥ 16.5 亿,  ,荣克敏先生  61,"金迪生物科技
行业：废水处理"
2005,106,￥ 16 亿,  ,翟韶均先生  未知,"力联集团
行业：房地产、工业"
2005,106,￥ 16 亿,  ,胡成中先生  44,"德力西集团
行业：工业电器设备、房地产"
