年份,排名,财富,排名变化,个人信息,企业信息
2010,1,￥ 800 亿,12,宗庆后家族先生  65,"娃哈哈集团
行业：饮料"
2010,2,￥ 400 亿,New ~,李锂家族先生  46,"海普瑞
行业：医药"
2010,3,￥ 380 亿,-1,张茵家族女士  53,"玖龙纸业
行业：包装纸"
2010,4,￥ 370 亿,16,梁稳根先生  54,"三一集团
行业：重型机械"
2010,5,￥ 360 亿,26,李彦宏先生  42,"百度
行业：搜索引擎"
2010,5,￥ 360 亿,5,严彬先生  56,"华彬集团
行业：饮料、房地产、投资"
2010,7,￥ 350 亿,-2,刘永行家族先生  62,"东方希望
行业：氧化铝、重化工、饲料"
2010,7,￥ 350 亿,2,王健林先生  56,"万达集团
行业：房地产、文化产业"
2010,7,￥ 350 亿,3,张近东先生  47,"苏宁电器
行业：家电零售、房地产"
2010,10,￥ 330 亿,-7,许荣茂家族先生  60,"世茂集团
行业：房地产"
2010,11,￥ 320 亿,5,马化腾先生  39,"腾讯
行业：即时通讯、门户网站、在线游戏、C2C"
2010,12,￥ 310 亿,-11,王传福先生  44,"比亚迪
行业：汽车、手机零部件、充电电池"
2010,13,￥ 290 亿,9,鲁冠球家族先生  65,"万向集团
行业：汽车制造业、房地产、农业、有色金属、金融"
2010,13,￥ 290 亿,30,沈文荣先生  64,"沙钢集团
行业：钢铁"
2010,15,￥ 280 亿,19,吴亚军家族女士  46,"龙湖地产
行业：房地产"
2010,16,￥ 270 亿,1,陈丽华女士  69,"富华集团
行业：房地产、紫檀博物馆"
2010,17,￥ 260 亿,-4,吕向阳先生  47,"融捷投资
行业：汽车、手机零部件、充电电池、矿产"
2010,18,￥ 250 亿,119,高彦明先生  53,"河北远洋集团
行业：远洋运输"
2010,18,￥ 250 亿,-1,何享健家族先生  68,"美的集团
行业：家电"
2010,18,￥ 250 亿,2,刘永好家族先生  59,"新希望
行业：农业、食品、化工、房地产、金融"
2010,21,￥ 240 亿,-6,陈发树先生  49,"新华都
行业：零售、金矿、旅游、酒、医药"
2010,21,￥ 240 亿,-4,黄光裕家族先生  41,"鹏润投资
行业：家电零售、房地产、投资"
2010,21,￥ 240 亿,-17,杨惠妍家族女士  29,"碧桂园
行业：房地产"
2010,21,￥ 240 亿,-16,朱孟依家族先生  51,"合生创展/珠江投资
行业：房地产"
2010,25,￥ 230 亿,-20,卢志强先生  58,"泛海建设
行业：房地产、金融"
2010,25,￥ 230 亿,21,孙广信先生  48,"广汇集团
行业：房地产、能源、汽车销售服务、建材"
2010,25,￥ 230 亿,12,许家印先生  52,"恒大地产集团
行业：房地产"
2010,25,￥ 230 亿,4,周成建家族先生  45,"美特斯邦威
行业：服装"
2010,29,￥ 220 亿,12,杜双华先生  45,"日照钢铁
行业：钢铁、投资"
2010,29,￥ 220 亿,-24,黄伟、李萍夫妇先生  51、女士  未知,"新湖集团
行业：房地产、金融"
2010,29,￥ 220 亿,8,黄文仔先生  57,"宏宇集团
行业：房地产、木业"
2010,29,￥ 220 亿,-7,刘沧龙、刘海龙兄弟先生  未知、先生  61,"宏达集团
行业：冶金、化工、房地产、金融"
2010,29,￥ 220 亿,8,荣智健先生  68,"中信泰富
行业：综合"
2010,29,￥ 220 亿,-7,秀丽·好肯家族先生  47,"人和商业
行业：商业地产"
2010,29,￥ 220 亿,2,张志祥先生  43,"建龙集团
行业：钢铁、造船、机电制造"
2010,29,￥ 220 亿,-3,祝义财先生  46,"雨润
行业：食品、房地产"
2010,37,￥ 210 亿,6,丁世忠家族先生  40,"安踏
行业：体育用品"
2010,38,￥ 200 亿,-5,李金元先生  52,"天狮集团
行业：保健品"
2010,38,￥ 200 亿,-11,童锦泉先生  55,"长峰房地产
行业：房地产"
2010,38,￥ 200 亿,13,张志熔先生  38,"恒盛地产 熔盛重工
行业：房地产、船业"
2010,41,￥ 185 亿,5,黄茂如、张静夫妇先生  45、女士  未知,"茂业集团
行业：房地产、零售"
2010,41,￥ 185 亿,-31,刘忠田家族先生  46,"忠旺集团
行业：铝型材、塑料"
2010,43,￥ 180 亿,-21,陈卓林家族先生  48,"雅居乐
行业：房地产"
2010,43,￥ 180 亿,-16,丁磊先生  39,"网易
行业：门户网站、在线游戏"
2010,43,￥ 180 亿,-6,郭广昌先生  43,"复星集团
行业：综合"
2010,43,￥ 180 亿,-14,朱林瑶女士  40,"华宝国际
行业：香精香料"
2010,47,￥ 170 亿,12,沈国军先生  48,"银泰集团
行业：零售、房地产"
2010,48,￥ 160 亿,11,胡明聪家族先生  53,"白云电气
行业：机械设备"
2010,48,￥ 160 亿,-14,周福仁先生  59,"西洋集团
行业：复合肥、矿产、耐火材料、钢铁"
2010,50,￥ 155 亿,9,施文博先生  60,"恒安集团
行业：个人护理用品"
2010,51,￥ 150 亿,4,梁庆德家族先生  73,"格兰仕
行业：家电"
2010,51,￥ 150 亿,125,林秀成、林志强父子先生  55、先生  36,"三安
行业：钢铁、LED"
2010,51,￥ 150 亿,2,潘石屹、张欣夫妇先生  47、女士  45,"SOHO中国
行业：房地产"
2010,51,￥ 150 亿,-5,史玉柱家族先生  48,"巨人集团
行业：在线游戏、金融"
2010,51,￥ 150 亿,15,许连捷先生  57,"恒安集团
行业：个人护理用品"
2010,51,￥ 150 亿,2,叶立培先生  66,"仲盛集团
行业：房地产"
2010,51,￥ 150 亿,97,张中能、郭梅兰夫妇先生  54、女士  未知,"东阳光集团
行业：铝加工、制药、矿产"
2010,58,￥ 145 亿,30,黄世再家族先生  59,"大中华国际
行业：房地产、投资"
2010,59,￥ 135 亿,72,叶澄海家族先生  67,"信立泰药业
行业：药业"
2010,60,￥ 130 亿,71,高德康家族先生  58,"波司登
行业：服装"
2010,60,￥ 130 亿,-18,钟声坚先生  52,"仁恒集团
行业：房地产、造纸"
2010,62,￥ 125 亿,-6,曹德旺、陈凤英夫妇先生  64、女士  64,"福耀玻璃
行业：玻璃"
2010,62,￥ 125 亿,-28,陈天桥家族先生  37,"盛大网络
行业：互动娱乐"
2010,64,￥ 120 亿,-18,陈义红、刘培英夫妇先生  52、女士  未知,"中国动向
行业：运动服装"
2010,64,￥ 120 亿,New ~,龚虹嘉、陈春梅夫妇先生  45、女士  45,"海康威视
行业：视频监控产品"
2010,64,￥ 120 亿,9,李宁、李进兄弟先生  47、先生  48,"李宁
行业：体育用品"
2010,64,￥ 120 亿,New ~,宋作文家族先生  63,"南山集团
行业：综合"
2010,64,￥ 120 亿,34,修涞贵先生  55,"修正药业
行业：医药"
2010,64,￥ 120 亿,-8,严介和、张云芹夫妇先生  50、女士  50,"太平洋建设
行业：基础建设"
2010,64,￥ 120 亿,-21,张桂平家族先生  59,"苏宁环球
行业：房地产"
2010,64,￥ 120 亿,-18,张力先生  57,"富力地产
行业：房地产"
2010,72,￥ 115 亿,173,李振江家族先生  53,"神威药业
行业：医药"
2010,72,￥ 115 亿,1,吕慧、陈宁宁母女先生  61、女士  39,"嘉鑫控股
行业：铁矿石进出口、钢铁、房地产、金融"
2010,74,￥ 110 亿,38,安康家族先生  61,"华兰生物
行业：生物制药"
2010,74,￥ 110 亿,78,陈启源、万玉华夫妇先生  未知、女士  未知,"霸王集团
行业：日化用品"
2010,74,￥ 110 亿,38,黄焕明先生  47,"明发集团
行业：房地产"
2010,74,￥ 110 亿,14,马云家族先生  46,"阿里巴巴
行业：电子商务、投资"
2010,74,￥ 110 亿,358,南存辉家族先生  47,"正泰集团
行业：工业电器、投资"
2010,74,￥ 110 亿,-22,苏萌先生  未知,"高德置地
行业：房地产"
2010,74,￥ 110 亿,14,杨铿先生  48,"蓝光集团
行业：房地产、饮料"
