年份,排名,财富,排名变化,个人信息,企业信息
2024,1,￥ 3500 亿,4,张一鸣先生  41,"字节跳动
行业：社交媒体"
2024,2,￥ 3400 亿,-1,钟睒睒先生  70,"养生堂
行业：饮料、医疗保健"
2024,3,￥ 3150 亿,-1,马化腾先生  53,"腾讯
行业：互联网服务"
2024,4,￥ 2450 亿,-1,黄峥先生  44,"拼多多
行业：购物网站"
2024,5,￥ 2350 亿,3,何享健家族先生  82,"美的
行业：家电制造"
2024,6,￥ 2000 亿,-2,曾毓群先生  56,"宁德时代
行业：锂电池"
2024,6,￥ 2000 亿,0,丁磊先生  53,"网易
行业：互联网技术"
2024,6,￥ 2000 亿,1,李嘉诚、李泽钜父子先生  96、先生  60,"长江实业
行业：投资"
2024,9,￥ 1750 亿,2,李兆基家族先生  96,"恒基兆业
行业：房地产"
2024,10,￥ 1650 亿,0,马云家族先生  60,"阿里系
行业：电子商务、金融科技"
2024,11,￥ 1450 亿,-2,李书福家族先生  61,"吉利
行业：汽车制造"
2024,11,￥ 1450 亿,1,严昊先生  38,"太平洋建设
行业：基础建设"
2024,11,￥ 1450 亿,5,张刚家族先生  43,"信发铝电
行业：电解铝、氧化铝"
2024,14,￥ 1400 亿,0,李蔡美灵家族先生  未知,"李锦记
行业：调味品"
2024,14,￥ 1400 亿,0,吕向阳、张长虹夫妇先生  61、女士  63,"融捷
行业：投资"
2024,16,￥ 1350 亿,-3,秦英林、钱瑛夫妇先生  59、女士  58,"牧原
行业：畜牧"
2024,16,￥ 1350 亿,0,王传福先生  58,"比亚迪
行业：汽车、充电电池"
2024,16,￥ 1350 亿,81,赵长鹏先生  47,"币安
行业：虚拟货币交易所"
2024,19,￥ 1300 亿,15,雷军先生  55,"小米
行业：智能硬件与技术、投资"
2024,20,￥ 1250 亿,0,陈建华、范红卫夫妇先生  53、女士  57,"恒力
行业：化纤、石化、房地产"
2024,20,￥ 1250 亿,6,张志东先生  52,"腾讯
行业：互联网服务"
2024,22,￥ 1200 亿,-4,刘永行、刘相宇父子先生  76、先生  49,"东方希望
行业：氧化铝、重化工、饲料"
2024,23,￥ 1100 亿,-3,王卫先生  54,"顺丰
行业：快递"
2024,23,￥ 1100 亿,1,魏建军、韩雪娟夫妇先生  60、女士  58,"长城
行业：汽车制造"
2024,23,￥ 1100 亿,15,郑淑良家族先生  78,"魏桥创业
行业：铝业、纺织"
2024,26,￥ 1000 亿,1,李西廷先生  73,"迈瑞
行业：医疗器械"
2024,27,￥ 950 亿,4,党彦宝先生  51,"宝丰
行业：煤化工"
2024,27,￥ 950 亿,0,徐航先生  62,"迈瑞、鹏瑞
行业：医疗器械、房地产"
2024,27,￥ 950 亿,-9,郑家纯家族先生  76,"周大福
行业：珠宝"
2024,30,￥ 930 亿,36,郭台铭先生  74,"鸿海
行业：电子制造"
2024,30,￥ 930 亿,-3,吴光正家族先生  78,"会德丰
行业：房地产"
2024,32,￥ 910 亿,3,刘銮雄家族先生  73,"华人置业
行业：房地产"
2024,33,￥ 890 亿,-8,黄世霖先生  57,"宁德时代
行业：锂电池"
2024,34,￥ 885 亿,-14,王兴先生  45,"美团
行业：生活服务"
2024,35,￥ 870 亿,5,庞康先生  68,"海天味业
行业：调味品"
2024,36,￥ 850 亿,4,杜纪川先生  83,"金士顿科技
行业：半导体"
2024,36,￥ 850 亿,4,孙大卫先生  73,"金士顿科技
行业：半导体"
2024,38,￥ 810 亿,-2,林立先生  61,"立业
行业：投资"
2024,38,￥ 810 亿,-7,宗馥莉女士  未知,"娃哈哈
行业：饮料"
2024,40,￥ 800 亿,-20,吕志和家族先生  95,"银河
行业：博彩"
2024,40,￥ 800 亿,-13,严彬先生  70,"华彬
行业：饮料、地产"
2024,42,￥ 770 亿,69,钟慧娟女士  63,"翰森
行业：医药"
2024,43,￥ 750 亿,1,李泽楷先生  58,"电讯盈科
行业：电信"
2024,44,￥ 730 亿,11,蔡浩宇先生  37,"米哈游
行业：游戏"
2024,45,￥ 720 亿,26,张聪渊家族先生  76,"华利实业
行业：鞋业"
2024,46,￥ 700 亿,-15,刘汉元、管亚梅夫妇先生  60、女士  未知,"通威
行业：新能源、农业"
2024,47,￥ 695 亿,12,林百里家族先生  75,"广达电脑
行业：消费电子产品"
2024,48,￥ 690 亿,-11,刘永好家族先生  73,"新希望
行业：农业、化工、金融"
2024,49,￥ 680 亿,37,蔡崇信先生  60,"阿里系
行业：电子商务、金融科技"
2024,50,￥ 670 亿,0,陈东升家族先生  67,"泰康
行业：保险"
2024,50,￥ 670 亿,94,项光达先生  66,"青山控股
行业：钢铁"
2024,50,￥ 670 亿,9,于泳先生  未知,"鸿商产业
行业：钼矿"
2024,50,￥ 670 亿,35,张国华家族先生  69,"长荣集团
行业：物流、钢铁"
2024,54,￥ 665 亿,-8,邝肖卿女士  95,"新鸿基
行业：房地产"
2024,55,￥ 650 亿,9,孙飘扬先生  66,"恒瑞
行业：医药"
2024,56,￥ 635 亿,36,周群飞、郑俊龙夫妇女士  54、先生  52,"蓝思科技
行业：电子器件制造"
2024,57,￥ 630 亿,19,王来胜、王雅媛父女先生  60、女士  32,"立讯精密
行业：消费电子"
2024,57,￥ 630 亿,9,徐浩宇家族先生  52,"扬子江药业
行业：医药"
2024,59,￥ 620 亿,18,王来春女士  57,"立讯精密
行业：消费电子"
2024,59,￥ 620 亿,-1,朱保国家族先生  62,"健康元
行业：医药"
2024,61,￥ 615 亿,-14,龚虹嘉、陈春梅夫妇先生  59、女士  59,"海康威视
行业：视频监控产品"
2024,62,￥ 610 亿,17,岑均达先生  未知,"恒瑞、翰森
行业：医药"
2024,63,￥ 600 亿,-16,梁稳根、梁在中父子先生  68、未知  未知,"三一
行业：重型机械"
2024,63,￥ 600 亿,12,王玉锁、赵宝菊夫妇先生  60、女士  59,"新奥
行业：天然气、能源化工"
2024,65,￥ 590 亿,12,陈天桥、雒芊芊夫妇先生  51、女士  未知,"盛大
行业：投资"
2024,65,￥ 590 亿,-18,汪俊林先生  62,"郎酒
行业：白酒"
2024,67,￥ 575 亿,6,杜双华先生  59,"日照钢铁
行业：钢铁"
2024,68,￥ 550 亿,3,陈丽华女士  83,"富华
行业：房地产、紫檀博物馆"
2024,68,￥ 550 亿,-15,李水荣先生  68,"荣盛控股
行业：化纤"
2024,70,￥ 540 亿,-25,张勇、舒萍夫妇先生  53、女士  54,"海底捞
行业：餐饮"
2024,71,￥ 525 亿,-32,李彦宏、马东敏夫妇先生  56、女士  54,"百度
行业：网络信息服务"
2024,72,￥ 520 亿,14,曹仁贤、苏蕾夫妇先生  56、女士  未知,"阳光电源
行业：光伏设备"
2024,72,￥ 520 亿,-6,刘强东、章泽天夫妇先生  50、女士  31,"京东
行业：电子商务、金融"
2024,74,￥ 510 亿,34,林木勤、林煜鹏父子先生  60、先生  未知,"东鹏饮料
行业：食品饮料"
2024,74,￥ 510 亿,114,朱义先生  61,"百利天恒
行业：医药"
2024,76,￥ 500 亿,-12,汪立平家族先生  58,"恒立液压
行业：高压油缸"
2024,76,￥ 500 亿,3,许仰天先生  40,"希音
行业：电商"
2024,76,￥ 500 亿,13,严昕女士  41,"苏商
行业：基础设施建设"
2024,79,￥ 490 亿,61,林斌先生  56,"小米
行业：智能硬件与技术"
2024,79,￥ 490 亿,-13,罗立国家族先生  68,"合盛
行业：硅材料"
2024,79,￥ 490 亿,-22,吴亚军家族女士  60,"龙湖
行业：房地产"
2024,82,￥ 480 亿,-19,裴振华、容建芬夫妇先生  未知、女士  未知,"天华超净
行业：超净产品"
2024,82,￥ 480 亿,9,许世辉家族先生  67,"达利食品
行业：食品"
2024,84,￥ 460 亿,56,蔡明兴家族先生  67,"富邦
行业：金融服务"
2024,84,￥ 460 亿,-44,陈邦先生  59,"爱尔眼科
行业：医疗服务"
2024,86,￥ 450 亿,-2,黄楚龙家族先生  65,"星河
行业：房地产、投资"
2024,86,￥ 450 亿,-31,李华先生  58,"卓越
行业：房地产"
2024,88,￥ 440 亿,67,蔡明忠家族先生  68,"富邦
行业：金融服务"
2024,88,￥ 440 亿,42,谢青先生  未知,"飞塔
行业：网路安全"
2024,90,￥ 435 亿,2,李天颖家族先生  未知,"新鸿基
行业：房地产"
2024,90,￥ 435 亿,23,米高·嘉道理家族先生  83,"中电
行业：能源"
2024,92,￥ 430 亿,5,陈贤哲家族先生  71,"北极星
行业：投资"
2024,92,￥ 430 亿,38,张虔生家族先生  80,"日月光
行业：工业品、房地产"
2024,94,￥ 425 亿,8,虞仁荣先生  58,"韦尔股份
行业：半导体"
2024,95,￥ 420 亿,55,蔡宏图家族先生  72,"霖园
行业：金融服务"
2024,95,￥ 420 亿,-9,杨惠妍家族女士  43,"碧桂园
行业：投资、房地产、教育"
2024,97,￥ 415 亿,-38,沈国军家族先生  62,"银泰
行业：零售、房地产、物流"
2024,97,￥ 415 亿,26,宋建波家族先生  54,"南山
行业：铝业、纺织、房地产"
2024,99,￥ 410 亿,66,霍斯特·帕德威尔家族先生  79,"创科实业
行业：消费品"
2024,99,￥ 410 亿,6,鲁伟鼎家族先生  53,"万向
行业：汽车制造业、房地产、农业"
2024,99,￥ 410 亿,-33,其实家族先生  54,"东方财富
行业：信息服务"
2024,99,￥ 410 亿,6,阮立平先生  60,"公牛
行业：插座"
2024,103,￥ 405 亿,-44,方威先生  51,"方大
行业：碳素、钢铁、煤焦"
2024,103,￥ 405 亿,-50,蒋仁生家族先生  71,"智飞生物
行业：疫苗"
2024,103,￥ 405 亿,2,阮学平先生  52,"公牛
行业：插座"
2024,103,￥ 405 亿,-11,朱孟依家族先生  65,"合生创展
行业：房地产、投资"
2024,107,￥ 400 亿,2,蔡衍明家族先生  67,"旺旺
行业：食品和饮料"
2024,107,￥ 400 亿,-5,丁世忠先生  54,"安踏
行业：体育用品"
2024,107,￥ 400 亿,-28,赖海民先生  58,"鸿荣源
行业：房地产"
2024,107,￥ 400 亿,19,刘伟先生  37,"米哈游
行业：游戏"
2024,107,￥ 400 亿,11,苏海文家族先生  84,"BW
行业：物流"
2024,112,￥ 395 亿,201,王旭宁先生  55,"JS环球生活
行业：小家电"
2024,113,￥ 390 亿,46,谢华先生  未知,"飞塔
行业：网路安全"
2024,114,￥ 385 亿,53,蔡政达家族先生  未知,"霖园
行业：金融服务"
