年份,排名,财富,排名变化,个人信息,企业信息
2018,1,￥ 2700 亿,2,马云家族先生  54,"阿里系
行业：电子商务、金融科技"
2018,2,￥ 2500 亿,-1,许家印先生  60,"恒大
行业：房地产、投资"
2018,3,￥ 2400 亿,-1,马化腾先生  47,"腾讯
行业：互联网服务"
2018,4,￥ 1500 亿,0,杨惠妍女士  37,"碧桂园
行业：房地产"
2018,5,￥ 1400 亿,0,王健林家族先生  64,"万达
行业：房地产、文化"
2018,6,￥ 1300 亿,2,何享健、何剑锋父子先生  76、先生  51,"美的
行业：家电制造"
2018,7,￥ 1200 亿,-1,王卫先生  48,"顺丰
行业：快递"
2018,7,￥ 1200 亿,1,严昊家族先生  32,"太平洋建设
行业：基础建设"
2018,9,￥ 1150 亿,-2,李彦宏、马东敏夫妇先生  50、女士  48,"百度
行业：搜索引擎"
2018,10,￥ 1100 亿,12,雷军先生  49,"小米
行业：智能硬件、投资"
2018,10,￥ 1100 亿,7,王文银家族先生  50,"正威
行业：有色金属"
2018,12,￥ 1000 亿,2,姚振华先生  48,"宝能
行业：投资、房地产"
2018,13,￥ 950 亿,New ~,黄峥先生  38,"拼多多
行业：购物网站"
2018,13,￥ 950 亿,2,张近东先生  55,"苏宁
行业：零售、房地产"
2018,13,￥ 950 亿,-1,张志东先生  46,"腾讯
行业：互联网服务"
2018,16,￥ 900 亿,-6,丁磊先生  47,"网易
行业：互联网技术"
2018,16,￥ 900 亿,-6,李书福家族先生  55,"吉利
行业：汽车制造"
2018,16,￥ 900 亿,-4,宗庆后家族先生  73,"娃哈哈
行业：饮料"
2018,19,￥ 850 亿,14,许荣茂家族先生  68,"世茂
行业：房地产"
2018,20,￥ 825 亿,7,孙飘扬、钟慧娟夫妇先生  60、女士  57,"恒瑞制药、豪森制药
行业：医药"
2018,21,￥ 800 亿,-5,卢志强家族先生  66,"泛海
行业：金融、房地产"
2018,22,￥ 790 亿,18,陈建华、范红卫夫妇先生  47、女士  51,"恒力
行业：化纤、石化、房地产"
2018,23,￥ 780 亿,-5,严彬先生  64,"华彬
行业：饮料、地产"
2018,24,￥ 750 亿,-3,刘强东先生  44,"京东
行业：电子商务、金融"
2018,25,￥ 670 亿,31,林立先生  55,"立业
行业：金融、投资"
2018,26,￥ 650 亿,6,许世辉家族先生  61,"达利食品
行业：食品"
2018,26,￥ 650 亿,-3,张士平家族先生  未知,"魏桥创业
行业：纺织、铝业"
2018,26,￥ 650 亿,57,张一鸣先生  35,"字节跳动
行业：推荐引擎"
2018,29,￥ 630 亿,1,刘永行家族先生  70,"东方希望
行业：氧化铝、重化工、饲料"
2018,30,￥ 620 亿,4,王玉锁、赵宝菊夫妇先生  54、女士  53,"新奥
行业：天然气、能源化工"
2018,31,￥ 590 亿,-7,龚虹嘉、陈春梅夫妇先生  53、女士  53,"海康威视
行业：视频监控产品"
2018,31,￥ 590 亿,-3,王清涛先生  56,"中融新大
行业：煤焦"
2018,33,￥ 585 亿,-3,吴亚军家族女士  54,"龙湖
行业：房地产"
2018,34,￥ 550 亿,791,张勇、舒萍夫妇先生  47、女士  48,"海底捞
行业：餐饮"
2018,35,￥ 520 亿,-10,郭广昌先生  51,"复星
行业：投资"
2018,35,￥ 520 亿,33,庞康先生  62,"海天味业
行业：食品"
2018,37,￥ 505 亿,-1,陈丽华女士  77,"富华
行业：房地产、紫檀博物馆"
2018,38,￥ 500 亿,3,陈东升家族先生  61,"泰康
行业：保险"
2018,38,￥ 500 亿,32,马建荣家族先生  53,"申洲针织
行业：纺织、服装"
2018,40,￥ 490 亿,35,沈国军家族先生  56,"银泰
行业：零售、房地产、物流"
2018,40,￥ 490 亿,-12,王文学先生  51,"华夏幸福
行业：房地产"
2018,42,￥ 475 亿,11,阎志先生  46,"卓尔
行业：房地产、投资"
2018,43,￥ 460 亿,2,孙广信先生  56,"广汇
行业：汽车销售、能源、房地产"
2018,43,￥ 460 亿,-24,孙宏斌先生  55,"融创
行业：房地产"
