年份,排名,财富,排名变化,个人信息,企业信息
2001,1,￥ 83 亿,  ,刘永好、刘永行兄弟先生  50、先生  53,"东方希望、新希望
行业：饲料"
2001,2,￥ 75 亿,  ,杨斌先生  26,"欧亚集团
行业：房地产、旅游、"
2001,3,￥ 70 亿,  ,仰融先生  45,"华晨控股
行业：客车、投资"
2001,4,￥ 65 亿,  ,荣智健先生  59,"中信泰富
行业：投资"
2001,5,￥ 60 亿,  ,许荣茂先生  51,"世茂集团
行业：房地产"
2001,6,￥ 55 亿,  ,陈丽华女士  60,"香港富华国际集团
行业：房地产"
2001,7,￥ 40 亿,  ,鲁冠球先生  56,"万向集团
行业：汽车配件"
2001,8,￥ 40 亿,  ,吴一坚先生  41,"金花企业集团
行业：药业、房地产"
2001,9,￥ 36 亿,  ,孙广信先生  39,"新疆广汇企业集团
行业：房地产、建筑材料、锅炉"
2001,10,￥ 35 亿,  ,张思民先生  39,"海王集团
行业：药业"
2001,11,￥ 27 亿,  ,刘汉元先生  37,"通威企业集团
行业：鱼饲料"
2001,12,￥ 25 亿,  ,荣海先生  44,"海星集团
行业：计算机、饮料、"
2001,13,￥ 23 亿,  ,张扬先生  38,"国中控股
行业：房地产、投资"
2001,14,￥ 22 亿,  ,陶新康先生  48,"上海新高潮集团
行业：木业"
2001,15,￥ 21 亿,  ,杨卓舒先生  49,"卓达集团
行业：房地产、旅游、教育"
2001,16,￥ 20 亿,  ,李晓华先生  39,"华达集团
行业：投资、高科技、"
2001,17,￥ 20 亿,  ,夏朝嘉先生  52,"禾嘉集团
行业：农业、阀门"
2001,18,￥ 20 亿,  ,徐明先生  30,"大连实德集团
行业：建筑材料"
2001,19,￥ 20 亿,  ,左宗申先生  48,"宗申集团
行业：摩托车、发动机"
2001,20,￥ 20 亿,  ,顾雏军先生  42,"格林柯尔控股
行业：环保制冷剂"
2001,21,￥ 20 亿,  ,明金星先生  43,"大众食品控股
行业：肉制品"
2001,22,￥ 19 亿,  ,郭浩先生  46,"超大现代农业集团
行业：有机农业"
2001,23,￥ 18 亿,  ,陈金飞、张斌先生  39、先生  31,"北京通产投资集团
行业：房地产、投资"
2001,24,￥ 17 亿,  ,张宏伟先生  47,"东方集团
行业：投资、房地产、建筑材料"
2001,25,￥ 17 亿,  ,张跃、张剑兄弟先生  41、先生  38,"远大空调集团
行业：中央空调"
2001,26,￥ 16 亿,  ,李一奎先生  50,"通化东宝集团
行业：药业"
2001,27,￥ 15 亿,  ,黄光裕先生  32,"鹏润集团
行业：家用电器、房地产"
2001,28,￥ 15 亿,  ,吴良定女士  55,"浙江中宝实业集团
行业：纺织机械、轮轴"
2001,29,￥ 15 亿,  ,郭立文先生  61,"哈慈集团
行业：保健产品"
2001,30,￥ 14 亿,  ,朱保国先生  39,"深圳太太药业
行业：美容保健品"
2001,31,￥ 14 亿,  ,叶韦辰先生  37,"联合食品控股
行业：肉制品"
2001,32,￥ 13 亿,  ,李金元先生  43,"天狮集团
行业：药业、保健品"
2001,33,￥ 12 亿,  ,韩真发先生  48,"吉林正业集团
行业：房地产、生猪养殖、屠宰、加工"
2001,34,￥ 12 亿,  ,黄巧灵先生  43,"宋城集团
行业：旅游、房地产"
2001,35,￥ 12 亿,  ,翦英海先生  37,"华普产业集团
行业：房地产、零售连锁"
2001,36,￥ 12 亿,  ,卢志强先生  49,"泛海集团
行业：投资、房地产"
2001,37,￥ 12 亿,  ,唐万里、唐万新兄弟先生  45、先生  37,"上海德隆、新疆德隆
行业：投资"
2001,38,￥ 12 亿,  ,张果喜先生  49,"江西果喜集团
行业：木雕、泡沫塑料"
2001,39,￥ 11 亿,  ,蒋泉龙先生  49,"中国稀土控股
行业：稀土产品"
2001,40,￥ 11 亿,  ,阎俊杰、张璨夫妇先生  37、女士  35,"达因集团
行业：药业、高科技"
2001,41,￥ 10 亿,  ,周福仁先生  50,"西洋集团
行业：肥料、防火材料"
2001,42,￥ 10 亿,  ,米恩华先生  43,"新疆华凌集团
行业：房地产、建筑材料"
2001,43,￥ 10 亿,  ,缪寿良先生  46,"深圳富源实业
行业：建筑材料、房地产"
2001,44,￥ 10 亿,  ,孙生有先生  71,"大连新型集团
行业：房地产、建筑材料"
2001,45,￥ 10 亿,  ,周庆治先生  46,"南都集团
行业：房地产、收费公路"
2001,46,￥ 10 亿,  ,沈雯先生  43,"紫江集团
行业：印刷、包装、电子"
2001,47,￥ 10 亿,  ,罗日炎先生  60,"美尔雅集团
行业：服装"
2001,48,￥ 9 亿,  ,刘绍喜先生  38,"宜华企业集团
行业：木制品"
2001,49,￥ 9 亿,  ,李书福先生  38,"浙江吉利集团
行业：汽车、摩托车"
2001,50,￥ 9 亿,  ,楼忠福先生  未知,"广厦集团
行业：建筑、房地产"
2001,51,￥ 9 亿,  ,石山麟先生  56,"昌宁集团
行业：给排水系统"
2001,52,￥ 9 亿,  ,任运良先生  48,"大连华丰集团
行业：高尔夫球场、房地产、高科技园"
2001,53,￥ 9 亿,  ,祝义财先生  37,"南京雨润肉食品
行业：肉制品"
2001,54,￥ 9 亿,  ,徐万茂先生  56,"宁波华茂集团
行业：文教用品、教育"
2001,55,￥ 9 亿,  ,王玉锁先生  37,"新奥燃气控股
行业：燃气供应"
2001,56,￥ 9 亿,  ,杨澜女士  33,"阳光文化
行业：媒体"
2001,57,￥ 9 亿,  ,翟家华先生  41,"天津华业集团
行业：药业"
2001,58,￥ 9 亿,  ,周连奎、周连良兄弟先生  51、先生  48,"大众食品控股
行业：肉制品"
2001,59,￥ 8 亿,  ,梁庆德先生  64,"格兰仕实业集团
行业：微波炉"
2001,60,￥ 8 亿,  ,王文京先生  37,"用友软件集团
行业：企业管理软件"
2001,61,￥ 8 亿,  ,陈金义先生  41,"浙江金义集团
行业：软饮料"
2001,62,￥ 8 亿,  ,杜厦先生  54,"天津家世界集团
行业：零售连锁"
2001,63,￥ 8 亿,  ,罗忠福先生  50,"福海集团
行业：房地产"
2001,64,￥ 8 亿,  ,缪双大先生  50,"双良集团
行业：中央空调"
2001,65,￥ 8 亿,  ,南存辉先生  38,"正泰集团
行业：电气产品"
2001,66,￥ 8 亿,  ,王洪德先生  66,"京海集团
行业：IT、房地产"
