年份,排名,财富,排名变化,个人信息,企业信息
2007,1,￥ 1300 亿,280,杨惠妍女士  26,"碧桂园
行业：房地产"
2007,2,￥ 770 亿,-1,张茵家族女士  50,"玖龙纸业
行业：包装纸"
2007,3,￥ 550 亿,1,许荣茂先生  57,"世茂集团
行业：房地产"
2007,4,￥ 450 亿,-2,黄光裕先生  38,"鹏润投资
行业：家电零售、房地产"
2007,5,￥ 420 亿,4,张力先生  54,"富力地产
行业：房地产"
2007,6,￥ 400 亿,New ~,彭小峰先生  32,"江西赛维
行业：太阳能"
2007,6,￥ 400 亿,0,荣智健先生  65,"中信泰富
行业：综合"
2007,6,￥ 400 亿,4,许家印先生  49,"恒大集团
行业：房地产"
2007,9,￥ 380 亿,11,张近东先生  44,"苏宁电器
行业：家电零售、房地产"
2007,10,￥ 360 亿,1,郭广昌先生  40,"复星集团
行业：综合"
2007,11,￥ 330 亿,40,卢志强先生  55,"泛海集团
行业：房地产、金融"
2007,12,￥ 310 亿,-5,陈卓林家族先生  45,"雅居乐
行业：房地产"
2007,13,￥ 300 亿,-10,朱孟依先生  48,"合生创展
行业：房地产"
2007,14,￥ 290 亿,4,刘永好家族先生  56,"新希望
行业：金融、饲料、房地产和乳制品"
2007,15,￥ 280 亿,15,史玉柱先生  45,"巨人集团
行业：在线游戏、金融"
2007,16,￥ 270 亿,235,潘石屹、张欣夫妇先生  44、女士  42,"SOHO中国
行业：房地产"
2007,16,￥ 270 亿,-8,钟声坚先生  49,"仁恒房地产
行业：房地产"
2007,18,￥ 260 亿,-4,宗庆后家族先生  62,"娃哈哈
行业：饮料、童装"
2007,19,￥ 250 亿,37,黄伟先生  39,"新湖集团
行业：房地产、金融"
2007,19,￥ 250 亿,1,童锦泉先生  52,"长峰房地产
行业：房地产"
2007,21,￥ 230 亿,New ~,张桂平先生  56,"苏宁环球
行业：房地产"
2007,22,￥ 225 亿,383,杨二珠女士  56,"碧桂园
行业：房地产"
2007,23,￥ 215 亿,24,朱炳洋先生  43,"恒丰永业
行业：保险"
2007,24,￥ 205 亿,113,梁稳根先生  51,"三一集团
行业：重型机械"
2007,25,￥ 200 亿,0,陈丽华女士  66,"富华国际
行业：北京房地产、紫檀博物馆"
2007,25,￥ 200 亿,-5,黄俊钦先生  41,"新恒基
行业：北京和沈阳房地产"
2007,25,￥ 200 亿,98,黄文仔先生  54,"宏宇集团
行业：房地产、木业"
2007,25,￥ 200 亿,-20,施正荣先生  44,"尚德太阳能
行业：太阳能"
2007,29,￥ 180 亿,9,陈发树先生  46,"新华都
行业：零售、金矿、旅游"
2007,29,￥ 180 亿,44,李彦宏先生  39,"百度
行业：搜索引擎"
2007,29,￥ 180 亿,27,刘永行家族先生  59,"东方希望
行业：饲料、电解铝、PVT"
2007,32,￥ 170 亿,41,高德康先生  55,"波司登
行业：服装"
2007,33,￥ 165 亿,New ~,孔健岷家族先生  38,"合景泰富
行业：房地产"
2007,34,￥ 160 亿,6,李兆楠先生  未知,"恒德贸易
行业：保险"
2007,34,￥ 160 亿,13,刘沧龙兄弟先生  未知,"宏达集团
行业：冶金、化工"
2007,36,￥ 150 亿,-18,李金元先生  49,"天狮集团
行业：保健品"
2007,36,￥ 150 亿,46,沈文荣先生  61,"沙钢集团
行业：钢铁"
2007,36,￥ 150 亿,New ~,熊续强先生  未知,"银亿集团
行业：房地产"
2007,36,￥ 150 亿,149,杨铿先生  45,"蓝光集团
行业：成都房地产"
2007,40,￥ 145 亿,New ~,丁世忠家族先生  37,"安踏
行业：体育用品"
2007,41,￥ 140 亿,New ~,林立先生  44,"立业集团
行业：保险"
2007,41,￥ 140 亿,111,苗连生先生  51,"天威英利
行业：太阳能"
2007,41,￥ 140 亿,New ~,鲜扬先生  34,"恒鼎实业
行业：焦炭"
2007,44,￥ 135 亿,New ~,朱林瑶女士  37,"华宝国际
行业：香精香料"
2007,45,￥ 130 亿,New ~,高彦明先生  50,"河北远洋运输
行业：航运"
2007,45,￥ 130 亿,28,梁信军先生  39,"复星集团
行业：综合"
2007,45,￥ 130 亿,-11,张祥青先生  38,"荣程钢铁
行业：钢铁"
2007,48,￥ 125 亿,8,曹德旺先生  61,"福耀玻璃
行业：玻璃"
2007,48,￥ 125 亿,173,张松桥先生  43,"中渝实业
行业：房地产"
2007,50,￥ 120 亿,New ~,陈义红先生  49,"动向体育
行业：服装"
2007,50,￥ 120 亿,141,柯希平先生  47,"恒兴实业
行业：矿业"
2007,50,￥ 120 亿,-33,李新炎、倪银英夫妇先生  56、女士  51,"中国龙工
行业：重型工程用车"
2007,50,￥ 120 亿,32,刘汉元、管亚梅夫妇先生  43、女士  未知,"通威集团
行业：鱼类饲料、鱼类养殖"
2007,50,￥ 120 亿,84,马化腾先生  36,"腾讯
行业：即时通讯、门户网站、在线游戏"
2007,50,￥ 120 亿,-25,王伟先生  42,"裕昌隆工贸
行业：保险"
2007,50,￥ 120 亿,-50,叶立培先生  63,"仲盛集团
行业：房地产"
2007,50,￥ 120 亿,-16,郑泽良、汤巧莲先生  未知、先生  未知,"武新裕福
行业：保险"
2007,50,￥ 120 亿,-11,周泽荣先生  53,"侨鑫集团
行业：房地产"
2007,59,￥ 115 亿,346,区学铭先生  58,"碧桂园
行业：房地产"
2007,59,￥ 115 亿,346,苏汝波先生  52,"碧桂园
行业：房地产"
2007,59,￥ 115 亿,346,张耀垣先生  62,"碧桂园
行业：房地产"
2007,62,￥ 110 亿,23,何享健先生  65,"美的集团
行业：家电"
2007,62,￥ 110 亿,-51,鲁冠球家族先生  62,"万向集团
行业：汽车零配件"
2007,64,￥ 105 亿,70,黄曦家族先生  未知,"福信集团
行业：金融、房地产"
2007,65,￥ 100 亿,-40,陈天桥家族先生  34,"盛大网络
行业：互动娱乐"
2007,65,￥ 100 亿,43,戴志康先生  43,"证大集团
行业：房地产"
2007,65,￥ 100 亿,2,黄如论先生  56,"世纪金源
行业：房地产"
2007,65,￥ 100 亿,5,李宁先生  44,"李宁公司
行业：体育用品"
2007,65,￥ 100 亿,49,楼国强先生  50,"金田铜业
行业：铜加工"
2007,65,￥ 100 亿,-45,吕慧、陈宁宁母女先生  58、女士  36,"嘉鑫控股
行业：钢铁、铁矿石进出口、房地产、金融"
2007,65,￥ 100 亿,New ~,莫峰先生  未知,"昌运东富
行业：航运"
2007,65,￥ 100 亿,New ~,欧通国先生  48,"ITAT
行业：服装连锁"
2007,65,￥ 100 亿,-36,宋卫平先生  49,"绿城集团
行业：房地产"
2007,65,￥ 100 亿,-49,严介和、张云芹夫妇先生  47、女士  47,"太平洋建设
行业：基础建设"
2007,65,￥ 100 亿,-35,张志祥先生  40,"建龙钢铁
行业：钢铁"
2007,76,￥ 90 亿,-34,刘学景先生  56,"凤祥集团
行业：食品"
2007,76,￥ 90 亿,New ~,任元林先生  54,"扬子江船业
行业：造船"
2007,78,￥ 85 亿,-22,李兆会家族先生  26,"海鑫钢铁
行业：钢铁、金融"
2007,78,￥ 85 亿,19,王传福先生  41,"比亚迪
行业：充电电池、汽车"
2007,78,￥ 85 亿,-50,祝义财先生  43,"雨润
行业：食品、房地产"
2007,81,￥ 80 亿,-70,丁磊先生  36,"网易
行业：门户网站、在线游戏"
2007,81,￥ 80 亿,-67,杜双华先生  42,"京华日照控股
行业：钢管、钢材"
2007,81,￥ 80 亿,-25,郭梓文先生  43,"奥园置业
行业：房地产"
2007,81,￥ 80 亿,-39,李赶坡先生  58,"敬业集团
行业：钢铁"
2007,81,￥ 80 亿,-39,孙广信先生  45,"广汇集团
行业：LPG、汽车服务、房地产、建材"
2007,81,￥ 80 亿,New ~,王玉锁、赵宝菊夫妇先生  43、女士  42,"新奥集团
行业：天然气、房地产、生物制药"
2007,81,￥ 80 亿,-57,吴亚军女士  43,"龙湖地产
行业：房地产"
2007,81,￥ 80 亿,New ~,周福仁先生  56,"西洋集团
行业：复合肥、耐火材料、钢铁"
2007,89,￥ 78 亿,5,吕向阳先生  44,"比亚迪
行业：充电电池、矿产、投资"
2007,90,￥ 77 亿,152,刘文丰先生  44,"文丰集团
行业：钢铁"
2007,91,￥ 76 亿,3,刘绍喜、刘绍生兄弟先生  44、先生  37,"宜华木业
行业：木业、房地产"
2007,91,￥ 76 亿,-44,王张兴先生  40,"家饰佳
行业：酒店、商业、地产"
2007,91,￥ 76 亿,-18,魏东、姚娟夫妇先生  38、女士  35,"福记食品
行业：食品"
2007,94,￥ 75 亿,36,车建兴先生  41,"红星家具
行业：商业地产"
2007,94,￥ 75 亿,New ~,董书通先生  56,"中国镍资源控股
行业：钢铁"
2007,94,￥ 75 亿,New ~,耿建明、耿建富先生  45、先生  42,"荣盛控股
行业：房地产"
2007,94,￥ 75 亿,127,刘忠田先生  43,"忠旺集团
行业：铝型材、塑料型材、塑料制品、磨具、服饰"
2007,94,￥ 75 亿,29,倪召兴先生  51,"中融集团
行业：房地产、能源"
2007,94,￥ 75 亿,29,沈国军先生  45,"银泰集团
行业：零售、房地产"
2007,94,￥ 75 亿,-64,徐镜人先生  63,"扬子江药业
行业：医药"
2007,94,￥ 75 亿,-38,姚俊良家族先生  54,"美锦能源
行业：煤炭、化工、金属材料"
2007,94,￥ 75 亿,109,袁志敏、熊海涛夫妇先生  46、女士  43,"金发科技
行业：塑料"
2007,94,￥ 75 亿,New ~,周连期家族先生  46,"七匹狼
行业：服装"
2007,94,￥ 75 亿,-21,周庆治先生  52,"南都集团
行业：投资"
2007,94,￥ 75 亿,-9,朱保国家族先生  45,"健康元
行业：医药"
2007,94,￥ 75 亿,58,朱志平先生  45,"同方联合控股
行业：房地产"
2007,107,￥ 70 亿,New ~,丁水波先生  37,"特步
行业：体育用品"
2007,107,￥ 70 亿,-34,李彬兰先生  45,"新一佳超市
行业：零售"
2007,109,￥ 68 亿,New ~,潘雄先生  未知,"上海新海成
行业：投资"
2007,110,￥ 66 亿,New ~,刘晓萌先生  52,"苏宁电器
行业：家电零售、房地产"
2007,111,￥ 65 亿,12,丁立国、赵静夫妇先生  37、女士  37,"德龙钢铁
行业：钢铁"
2007,111,￥ 65 亿,-29,冯光成先生  56,"光宇玻璃
行业：玻璃"
2007,111,￥ 65 亿,34,梁庆德家族先生  70,"格兰仕
行业：家电"
2007,114,￥ 64 亿,6,寿柏年先生  45,"绿城集团
行业：房地产"
2007,115,￥ 62 亿,-1,朱新礼先生  55,"汇源集团
行业：饮料"
2007,116,￥ 60 亿,New ~,陈建铭先生  51,"三盛宏业
行业：房地产"
2007,116,￥ 60 亿,New ~,戴伟立先生  未知,"神奇科技
行业：IT"
2007,116,￥ 60 亿,New ~,范伟先生  38,"复星集团
行业：综合"
2007,116,￥ 60 亿,101,梁亮胜先生  56,"丝宝集团
行业：日化用品、美容品"
2007,116,￥ 60 亿,101,汪群斌先生  38,"复星集团
行业：综合"
2007,116,￥ 60 亿,New ~,王东先生  未知,"扬子江船业
行业：造船"
2007,116,￥ 60 亿,New ~,王玉城、王文城、王国城兄弟先生  未知、先生  未知、先生  未知,"兴业集团
行业：综合"
2007,116,￥ 60 亿,-60,严彬先生  53,"华彬集团
行业：房地产、高尔夫球场、饮料"
2007,116,￥ 60 亿,14,杨绍鹏先生  51,"海丰航运
行业：物流、船舶代理"
2007,116,￥ 60 亿,135,袁柏仁先生  42,"纵横轻纺、纵横钢铁
行业：纺织、钢铁"
2007,116,￥ 60 亿,29,张跃先生  47,"远大空调
行业：中央空调"
2007,116,￥ 60 亿,-31,周成建先生  42,"美特斯邦威
行业：服装"
2007,116,￥ 60 亿,New ~,周传有先生  43,"中金投资
行业：房地产、矿"
2007,116,￥ 60 亿,-31,朱玉国先生  52,"群星纸业
行业：造纸"
2007,116,￥ 60 亿,36,邹澄先生  35,"安瑞盛
行业：矿业"
2007,131,￥ 59 亿,New ~,黄进先生  未知,"上海安尚
行业：矿"
2007,132,￥ 58 亿,New ~,刘志强、翟美卿先生  43、女士  43,"香江集团
行业：房地产、家具零售"
2007,132,￥ 58 亿,306,徐航先生  45,"迈瑞生物
行业：医疗电子"
2007,134,￥ 55 亿,69,傅军先生  50,"新华联
行业：房地产"
2007,134,￥ 55 亿,18,高元坤先生  49,"力诺集团
行业：玻璃、太阳能产品、金融"
2007,134,￥ 55 亿,-64,施文博先生  57,"恒安集团
行业：个人护理用品"
2007,134,￥ 55 亿,18,修涞贵先生  52,"修正药业
行业：医药"
2007,134,￥ 55 亿,117,俞敏洪先生  45,"新东方
行业：教育"
2007,134,￥ 55 亿,New ~,周国辉先生  42,"怡亚通
行业：供应链管理"
2007,140,￥ 52 亿,184,陈凤英女士  61,"福耀玻璃
行业：玻璃"
2007,140,￥ 52 亿,New ~,胡明聪家族先生  50,"白云电气
行业：机械设备"
2007,140,￥ 52 亿,-89,景柱先生  41,"海马投资
行业：汽车"
2007,140,￥ 52 亿,-106,李非列先生  41,"飞尚集团
行业：矿产、钢铁、能源"
2007,140,￥ 52 亿,-67,李洪信先生  54,"太阳纸业
行业：造纸"
2007,140,￥ 52 亿,New ~,李如成先生  56,"雅戈尔
行业：服装、房地产"
2007,140,￥ 52 亿,-48,杨钊家族先生  60,"旭日集团
行业：服装、房地产"
2007,147,￥ 51 亿,104,陈金凤先生  44,"苏宁电器
行业：家电零售、房地产"
2007,148,￥ 50 亿,-102,戴皓先生  43,"中发实业
行业：房地产、保险"
2007,148,￥ 50 亿,55,冯海良、冯亚丽先生  47、女士  51,"海亮集团
行业：黑色金属"
2007,148,￥ 50 亿,New ~,黄茂如先生  42,"茂业集团
行业：房地产、零售"
2007,148,￥ 50 亿,133,黄鸣先生  49,"皇明集团
行业：太阳能产品"
2007,148,￥ 50 亿,176,黄世再先生  56,"大中华国际
行业：房地产"
2007,148,￥ 50 亿,103,姜俊平先生  未知,"巴龙集团
行业：服装"
2007,148,￥ 50 亿,New ~,兰世立先生  41,"东星集团
行业：房地产、航空、旅游"
2007,148,￥ 50 亿,New ~,李西廷先生  56,"迈瑞生物
行业：医疗电子"
2007,148,￥ 50 亿,4,林和平兄弟先生  50,"富贵鸟
行业：服装"
2007,148,￥ 50 亿,-92,马云先生  43,"阿里巴巴
行业：电子商务"
2007,148,￥ 50 亿,-28,秦志尚先生  59,"新科电子
行业：VCD、DVD"
2007,148,￥ 50 亿,-11,邱光和先生  56,"森马集团
行业：服装"
2007,148,￥ 50 亿,New ~,王健林先生  53,"大连万达
行业：房地产"
2007,148,￥ 50 亿,-51,王水福先生  52,"西子电梯
行业：电梯"
2007,148,￥ 50 亿,New ~,王文京先生  43,"用友软件
行业：软件、金融"
2007,148,￥ 50 亿,227,王振华先生  45,"新城实业
行业：房地产"
2007,148,￥ 50 亿,290,王振滔先生  42,"奥康集团
行业：鞋"
2007,148,￥ 50 亿,-106,魏东先生  40,"涌金投资
行业：金融、医药"
2007,148,￥ 50 亿,-51,徐明先生  36,"大连实德
行业：建材、石油衍生品、金融、足球"
2007,148,￥ 50 亿,-92,许连捷先生  54,"恒安集团
行业：个人护理用品"
2007,148,￥ 50 亿,-92,杨澜、吴征夫妇女士  39、先生  41,"阳光媒体投资
行业：投资"
2007,148,￥ 50 亿,158,姚原、姚涌先生  51、先生  50,"上海铭源
行业：房地产、食品"
2007,148,￥ 50 亿,-115,张雷先生  45,"当代集团
行业：房地产"
2007,148,￥ 50 亿,227,张兴标家族先生  62,"兴盛集团
行业：房地产"
2007,148,￥ 50 亿,-34,郑坚江先生  46,"三星集团
行业：电子产品、空调"
2007,173,￥ 49 亿,-59,黄水寿先生  60,"大东南集团
行业：塑料包装制品"
2007,174,￥ 48 亿,132,蒋锡培先生  44,"远东集团
行业：电缆"
2007,174,￥ 48 亿,150,李贤义先生  55,"信义玻璃
行业：玻璃"
2007,174,￥ 48 亿,New ~,马兴法家族先生  45,"天马股份
行业：轴承"
2007,174,￥ 48 亿,New ~,潘政民、吴春媛夫妇先生  40、女士  未知,"AAC声学科技
行业：声学科技"
2007,174,￥ 48 亿,New ~,杨伟峰先生  未知,"安瑞盛
行业：矿业"
2007,174,￥ 48 亿,New ~,周峻帼先生  未知,"安瑞盛
行业：矿业"
2007,180,￥ 47 亿,-95,王伟贤先生  43,"盛高置地
行业：房地产"
2007,180,￥ 47 亿,-83,周忻先生  40,"易居中国
行业：房地产"
2007,182,￥ 45 亿,-3,成清波先生  45,"国泰恒生
行业：房地产、铁路"
2007,182,￥ 45 亿,-85,韩文臣先生  45,"宝业集团
行业：钢铁"
2007,182,￥ 45 亿,-37,胡成中先生  46,"德力西
行业：工业电器、房地产"
2007,182,￥ 45 亿,99,黄怒波先生  51,"中坤集团
行业：房地产、旅游"
2007,182,￥ 45 亿,-97,楼忠福先生  未知,"广厦建筑
行业：建筑、房地产"
2007,182,￥ 45 亿,-74,綦建虹先生  未知,"宾利北京
行业：金融、汽车代理"
2007,182,￥ 45 亿,New ~,任锦华先生  未知,"扬子江船业
行业：造船"
2007,182,￥ 45 亿,New ~,孙荫环先生  57,"亿达集团
行业：房地产"
2007,182,￥ 45 亿,New ~,王超玮先生  未知,"上海安尚
行业：矿"
2007,182,￥ 45 亿,-126,邢利斌先生  40,"联盛能源
行业：煤焦"
2007,182,￥ 45 亿,-97,杨休先生  46,"天地集团
行业：房地产、博物馆"
2007,182,￥ 45 亿,New ~,周克非先生  未知,"上海安尚
行业：矿"
2007,194,￥ 44 亿,New ~,郭浩先生  52,"超大农业
行业：农业"
2007,194,￥ 44 亿,New ~,孙飘扬先生  49,"恒瑞制药
行业：医药"
2007,196,￥ 43 亿,-88,沈雯先生  49,"紫江集团
行业：包装印刷、房地产"
2007,197,￥ 41 亿,New ~,郭恩元先生  59,"普阳钢铁
行业：钢铁"
2007,198,￥ 40 亿,New ~,陈道荣先生  51,"华仪电气
行业：工业电器"
2007,198,￥ 40 亿,23,陈清渊家族先生  49,"银鹭集团
行业：饮料"
2007,198,￥ 40 亿,New ~,邓伟先生  44,"亿阳集团
行业：通信、能源、航空"
2007,198,￥ 40 亿,-101,丁建通先生  67,"361度
行业：运用产品"
2007,198,￥ 40 亿,5,杜厦先生  60,"家世界
行业：零售"
2007,198,￥ 40 亿,5,胡葆森先生  57,"建业集团
行业：房地产"
2007,198,￥ 40 亿,-147,江南春先生  34,"分众传媒
行业：楼宇广告"
2007,198,￥ 40 亿,5,姜纯先生  47,"楚江投资
行业：铜生产及加工"
2007,198,￥ 40 亿,5,蒋业华先生  44,"华宇集团
行业：房地产"
2007,198,￥ 40 亿,-46,柯永开先生  41,"福马食品
行业：食品、金融"
2007,198,￥ 40 亿,-46,李书福先生  44,"吉利集团
行业：汽车"
2007,198,￥ 40 亿,-61,李永军兄弟先生  40,"喜之郎
行业：果冻"
2007,198,￥ 40 亿,-61,梁希森先生  52,"希森集团
行业：房地产"
2007,198,￥ 40 亿,-130,米恩华先生  49,"华凌集团
行业：商品批发市场"
2007,198,￥ 40 亿,-61,缪寿良先生  52,"富源集团
行业：房地产"
2007,198,￥ 40 亿,New ~,荣海先生  50,"海星科技
行业：饮料、公路、重化工、科技"
2007,198,￥ 40 亿,126,阮水龙先生  72,"龙盛集团
行业：染料"
2007,198,￥ 40 亿,-78,汪俊林、汪俊刚兄弟先生  45、先生  未知,"郎酒集团
行业：房地产、白酒"
2007,198,￥ 40 亿,126,魏建军家族先生  43,"长城汽车
行业：汽车"
2007,198,￥ 40 亿,126,徐锦鑫先生  未知,"置信集团
行业：房地产、运输"
2007,198,￥ 40 亿,52,徐勇先生  43,"百度
行业：搜索引擎"
2007,198,￥ 40 亿,-142,颜立燕先生  未知,"达德投资
行业：房地产"
2007,198,￥ 40 亿,207,尤小平先生  49,"华峰集团
行业：聚氨酯鞋底原液、聚氨酯革用树脂、氨纶"
2007,198,￥ 40 亿,New ~,张佛恩先生  55,"龙泉集团
行业：房地产、酒店"
2007,198,￥ 40 亿,New ~,张浩先先生  61,"华阳集团
行业：汽车音响"
2007,198,￥ 40 亿,-53,周耀庭、周海江先生  64、先生  40,"红豆集团
行业：服装"
2007,224,￥ 39 亿,57,徐万茂先生  62,"宁波华茂
行业：文具、教育、金融"
2007,225,￥ 38 亿,New ~,何清华先生  61,"山河智能
行业：机械制造"
2007,225,￥ 38 亿,New ~,李安民家族先生  62,"安泰集团
行业：煤炭"
2007,225,￥ 38 亿,New ~,卢列先生  44,"金盛卢氏
行业：包装、造纸"
2007,225,￥ 38 亿,-22,修刚先生  40,"吉林敖东
行业：医药、投资"
2007,225,￥ 38 亿,-88,叶祥尧先生  54,"长城电器
行业：电器"
2007,225,￥ 38 亿,New ~,张志东先生  35,"腾讯
行业：即时通讯、门户网站、在线游戏、C2C"
2007,231,￥ 37 亿,10,王晓春先生  39,"同济堂
行业：医药"
2007,232,￥ 36 亿,19,李伟先生  39,"思念食品
行业：食品"
2007,232,￥ 36 亿,-102,左宗申家族先生  54,"宗申集团
行业：摩托车"
2007,234,￥ 35 亿,-100,陈华先生  41,"京基集团
行业：房地产"
2007,234,￥ 35 亿,204,方悟校先生  58,"胜达包装
行业：包装产品"
2007,234,￥ 35 亿,-13,何金明先生  55,"人人乐
行业：零售"
2007,234,￥ 35 亿,-111,李德文先生  56,"金帝集团
行业：房地产、建筑、贸易、教育"
2007,234,￥ 35 亿,-13,李兴浩先生  43,"志高空调
行业：空调"
2007,234,￥ 35 亿,-89,刘汉先生  42,"汉龙集团
行业：投资、房地产"
2007,234,￥ 35 亿,47,刘益谦先生  44,"新理益
行业：投资"
2007,234,￥ 35 亿,-137,马建荣家族先生  42,"申洲针织
行业：服装"
2007,234,￥ 35 亿,-82,宓春磊先生  31,"中瀛集团
行业：综合"
2007,234,￥ 35 亿,-137,欧亚平先生  45,"百仕达控股
行业：天然气、深圳房地产"
2007,234,￥ 35 亿,New ~,宋继明先生  49,"西水集团
行业：轮胎、帘子布、碳黑"
2007,234,￥ 35 亿,New ~,王树生先生  53,"大田集团
行业：物流"
2007,234,￥ 35 亿,New ~,王莘先生  44,"瑞星科技
行业：杀毒软件"
2007,234,￥ 35 亿,New ~,许景南先生  52,"匹克
行业：运动服装、鞋"
2007,234,￥ 35 亿,New ~,张涌先生  41,"林凤集团
行业：电厂、房地产、投资"
2007,249,￥ 34 亿,New ~,池宇峰先生  36,"完美时空
行业：网络游戏"
2007,250,￥ 33 亿,74,刘建民先生  54,"建新实业
行业：有色金属生产、加工"
2007,250,￥ 33 亿,125,茹伯兴先生  60,"百兴集团
行业：物流、工业制造、房地产"
2007,250,￥ 33 亿,125,叶选生先生  未知,"三水科技
行业：保险"
2007,250,￥ 33 亿,125,郑有全先生  53,"瑞贝卡
行业：假发"
2007,250,￥ 33 亿,-98,周辞美先生  65,"宁波华翔
行业：汽车配件"
2007,255,￥ 32 亿,-141,丁敏儿家族先生  51,"华鼎集团
行业：服装"
2007,255,￥ 32 亿,-141,钭正刚先生  54,"锦江集团
行业：能源、服装、医药"
2007,255,￥ 32 亿,-103,高纪凡夫妇先生  42,"天合光能
行业：太阳能发电"
