年份,排名,企业估值,企业信息,CEO,行业
2021,No.1,￥ 39000 亿,腾讯控股,马化腾,互联网服务
2021,No.2,￥ 36900 亿,台湾积体电路制造,刘德音,半导体
2021,No.3,￥ 24800 亿,阿里巴巴,张勇,电子商务
2021,No.4,￥ 22500 亿,字节跳动,张利东,传媒和娱乐
2021,No.5,￥ 14900 亿,宁德时代,曾毓群,锂电池
2021,No.6,￥ 14100 亿,美团,王兴,生活服务
2021,No.7,￥ 10000 亿,华为,梁华,智能手机、电信解决方案
2021,No.7,￥ 10000 亿,蚂蚁集团,井贤栋,金融科技
2021,No.9,￥ 9010 亿,京东集团,刘强东,电子商务
2021,No.10,￥ 8910 亿,中国平安保险,马明哲,金融服务
2021,No.11,￥ 8080 亿,比亚迪,王传福,汽车、手机部件及组装
2021,No.12,￥ 6600 亿,拼多多,陈磊,电子商务
2021,No.13,￥ 5070 亿,网易,丁磊,互联网技术
2021,No.14,￥ 5050 亿,海天调味食品,庞康,调味品
2021,No.15,￥ 4970 亿,隆基股份,钟宝申,硅材料
2021,No.16,￥ 4890 亿,美的集团,方洪波,家电
2021,No.17,￥ 4600 亿,迈瑞生物医疗电子,李西廷,医疗器械
2021,No.18,￥ 4510 亿,农夫山泉,钟睒睒,饮料
2021,No.19,￥ 4500 亿,长城汽车,魏建军,汽车
2021,No.20,￥ 4340 亿,小米集团,雷军,智能手机、智能家电
2021,No.21,￥ 3960 亿,联发科技,蔡明介,半导体
2021,No.22,￥ 3900 亿,蔚来,李斌,新能源汽车
2021,No.23,￥ 3850 亿,药明康德,李革,生物医药
2021,No.23,￥ 3850 亿,药明生物,李革,生物医药
2021,No.25,￥ 3640 亿,东方财富,其实,金融数据服务
2021,No.26,￥ 3510 亿,百度,李彦宏,网络信息服务
2021,No.27,￥ 3360 亿,鸿海精密工业,刘扬伟,电子设备
2021,No.28,￥ 3330 亿,恒瑞医药,孙飘扬,医药
2021,No.29,￥ 3310 亿,快手科技,宿华,传媒和娱乐
2021,No.29,￥ 3310 亿,顺丰控股,王卫,快递
