年份,排名,企业估值,企业信息,CEO,行业
2020,No.1,￥ 49800 亿,腾讯控股,马化腾,互联网服务
2020,No.2,￥ 47800 亿,阿里巴巴,张勇,电子商务
2020,No.3,￥ 16300 亿,美团,王兴,生活服务
2020,No.4,￥ 14800 亿,中国平安保险,马明哲,金融
2020,No.5,￥ 14000 亿,蚂蚁集团,井贤栋,金融科技
2020,No.6,￥ 11400 亿,拼多多,黄峥,电子商务
2020,No.7,￥ 11000 亿,华为,梁华,智能手机、电信解决方案
2020,No.8,￥ 9960 亿,京东集团,刘强东,电子商务
2020,No.9,￥ 7000 亿,字节跳动,张一鸣,传媒和娱乐
2020,No.10,￥ 6280 亿,美的集团,方洪波,家电
2020,No.11,￥ 5930 亿,宁德时代,曾毓群,锂电池
2020,No.12,￥ 5540 亿,海天调味食品,庞康,调味品
2020,No.13,￥ 5300 亿,贝壳,左晖,房地产服务
2020,No.14,￥ 4940 亿,恒瑞医药,孙飘扬,医药
2020,No.15,￥ 4710 亿,小米集团,雷军,智能手机、智能家电
2020,No.16,￥ 4520 亿,迈瑞生物医疗电子,李西廷,医疗器械
2020,No.17,￥ 4480 亿,比亚迪,王传福,汽车、手机部件及组装
2020,No.18,￥ 4170 亿,立讯精密工业,王来春,消费电子精密件
2020,No.19,￥ 4160 亿,蔚来,李斌,新能源汽车
2020,No.20,￥ 4120 亿,网易,丁磊,互联网技术
2020,No.21,￥ 4100 亿,顺丰控股,王卫,快递
2020,No.22,￥ 3600 亿,滴滴出行,程维,共享出行
2020,No.23,￥ 3560 亿,农夫山泉,钟睒睒,饮料
2020,No.24,￥ 3490 亿,格力电器,董明珠,家电
2020,No.25,￥ 3380 亿,百度,李彦宏,网络信息服务
2020,No.26,￥ 3240 亿,好未来教育集团,白云峰,教育
2020,No.27,￥ 3150 亿,泰康保险,陈东升,保险
2020,No.28,￥ 3100 亿,牧原食品,秦英林,畜牧
2020,No.29,￥ 2950 亿,西安隆基,钟宝申,硅材料
2020,No.30,￥ 2650 亿,药明康德,李革,生物医药
2020,No.31,￥ 2560 亿,海底捞,张勇,餐饮
2020,No.32,￥ 2530 亿,三一集团,梁稳根,重型机械
2020,No.32,￥ 2530 亿,伊利实业集团,潘刚,乳制品
2020,No.34,￥ 2500 亿,智飞生物,蒋仁生,疫苗
2020,No.35,￥ 2400 亿,药明生物,李革,生物医药
2020,No.36,￥ 2360 亿,爱尔眼科医院集团,陈邦,医疗服务
2020,No.37,￥ 2260 亿,中公教育科技,李永新,教育
2020,No.38,￥ 2230 亿,龙湖集团,吴亚军,房地产
2020,No.39,￥ 2220 亿,东方财富,其实,金融数据服务
2020,No.39,￥ 2220 亿,海尔智家,梁海山,家用电器
2020,No.41,￥ 2190 亿,中国民生银行,高迎欣,银行
2020,No.42,￥ 2125 亿,小鹏汽车科技,何小鹏,新能源汽车
2020,No.43,￥ 2100 亿,陆金所,计葵生,金融科技
2020,No.44,￥ 2060 亿,碧桂园控股,杨国强、杨惠妍,房地产
2020,No.45,￥ 2010 亿,新东方教育科技集团,俞敏洪,教育
2020,No.46,￥ 2000 亿,快手科技,宿华,传媒和娱乐
2020,No.46,￥ 2000 亿,京东数科,刘强东,数字科技
2020,No.46,￥ 2000 亿,微众银行,顾敏,金融科技
2020,No.46,￥ 2000 亿,安踏,丁世忠,体育用品
2020,No.50,￥ 1990 亿,理想汽车,李想,新能源汽车
2020,No.51,￥ 1965 亿,中国恒大集团,许家印,房地产、投资
2020,No.52,￥ 1960 亿,思摩尔国际控股,陈志平,电子雾化器
2020,No.53,￥ 1940 亿,翰森制药,钟慧娟,医药
2020,No.54,￥ 1860 亿,百济神州,欧雷强,生物医药
2020,No.55,￥ 1780 亿,双汇,万隆,食品加工
2020,No.55,￥ 1780 亿,申洲国际,马建荣,纺织、服装
2020,No.57,￥ 1750 亿,vivo,沈炜,智能手机
2020,No.58,￥ 1720 亿,长城汽车,魏建军,汽车
2020,No.59,￥ 1700 亿,OPPO,陈明永,智能手机
2020,No.60,￥ 1640 亿,中通快递,赖梅松,物流
2020,No.61,￥ 1620 亿,扬子江药业集团,徐镜人,医药
2020,No.62,￥ 1600 亿,韦尔股份,虞仁荣,半导体
2020,No.62,￥ 1600 亿,恒力集团,陈建华,化纤、石化、房地产
2020,No.64,￥ 1550 亿,蓝思科技,周群飞,电子器件制造
2020,No.65,￥ 1500 亿,华彬集团,严彬,饮料
2020,No.65,￥ 1500 亿,太平洋建设,严昊,基础建设
2020,No.67,￥ 1470 亿,新希望集团,刘永好,农业、房地产、金融
2020,No.68,￥ 1460 亿,用友网络科技,王文京,应用软件开发
2020,No.68,￥ 1460 亿,闻泰科技,张学政,软件
2020,No.70,￥ 1440 亿,中国飞鹤,冷友斌,乳业
2020,No.70,￥ 1440 亿,吉利控股集团,李书福,汽车制造
2020,No.72,￥ 1360 亿,新奥集团,王玉锁,天然气、能源化工
2020,No.73,￥ 1350 亿,分众传媒,江南春,广告新媒体
2020,No.74,￥ 1330 亿,歌尔股份,姜滨,声学及多媒体产品
2020,No.74,￥ 1330 亿,荣盛控股,李水荣,化纤
2020,No.74,￥ 1330 亿,中国生物制药,谢其润,生物医药
2020,No.77,￥ 1280 亿,通威集团,刘汉元,农业、新能源
2020,No.78,￥ 1270 亿,温氏食品集团,温志芬,家禽养殖、动物保健
2020,No.79,￥ 1250 亿,碧桂园服务控股,杨惠妍,物业服务
2020,No.80,￥ 1230 亿,康泰生物制品,杜伟民,生物医药
2020,No.81,￥ 1220 亿,华兰生物,安康,生物医药
2020,No.82,￥ 1200 亿,舜宇光学科技,叶辽宁,电子元器件
2020,No.82,￥ 1200 亿,万达集团,王健林,房地产、文化、投资
2020,No.82,￥ 1200 亿,携程,梁建章,互联网旅游服务
2020,No.85,￥ 1190 亿,融创中国控股,孙宏斌,房地产
2020,No.86,￥ 1160 亿,三六零安全科技,周鸿祎,网络信息服务
2020,No.87,￥ 1140 亿,爱奇艺,李彦宏,视频娱乐
2020,No.88,￥ 1130 亿,跟谁学,陈向东,教育
2020,No.89,￥ 1100 亿,万国数据,黄伟,数据服务
2020,No.89,￥ 1100 亿,三安光电,林志强,LED
2020,No.89,￥ 1100 亿,东方希望集团,刘永行,氧化铝、重化工、饲料
2020,No.89,￥ 1100 亿,万向集团,鲁伟鼎,汽车制造业、房地产、农业
2020,No.93,￥ 1090 亿,汇川技术,朱兴明,电力电子
2020,No.94,￥ 1040 亿,猿辅导,李勇,教育
2020,No.94,￥ 1040 亿,颐海国际控股,施永宏,食品配料
2020,No.96,￥ 1020 亿,哔哩哔哩,陈睿,视频弹幕网站
2020,No.96,￥ 1020 亿,正威国际集团,王文银,有色金属
2020,No.98,￥ 1010 亿,恒立液压,汪立平,高压油缸
2020,No.98,￥ 1010 亿,石药集团,蔡东晨,医药
2020,No.100,￥ 1000 亿,公牛集团,阮立平,插座
2020,No.100,￥ 1000 亿,亿纬锂能,刘金成,锂电池
2020,No.100,￥ 1000 亿,大疆,汪滔,机器人
2020,No.103,￥ 995 亿,平安好医生,方蔚豪,医疗服务
2020,No.104,￥ 990 亿,信义光能,李贤义,新能源
2020,No.105,￥ 985 亿,广联达科技,刁志中,应用软件开发
2020,No.105,￥ 985 亿,泰格医药,叶小平,医药
2020,No.107,￥ 980 亿,世茂集团,许荣茂,房地产
2020,No.108,￥ 975 亿,海大集团,薛华,饲料
2020,No.109,￥ 965 亿,中升集团,黄毅,汽车销售
2020,No.110,￥ 930 亿,深信服科技,何朝曦,解决方案
2020,No.111,￥ 905 亿,澜起科技,杨崇和,芯片
2020,No.112,￥ 900 亿,东方雨虹,李卫国,防水材料
2020,No.112,￥ 900 亿,华住集团,季琦,连锁酒店
2020,No.112,￥ 900 亿,苏宁易购,张近东,零售
2020,No.115,￥ 890 亿,沃森生物,李云春,生物制药
2020,No.116,￥ 875 亿,恩捷新材料,李晓明,包装盒
2020,No.116,￥ 875 亿,兆易创新,朱一明,闪存芯片
2020,No.118,￥ 860 亿,康龙化成,楼柏良,生物医药
2020,No.118,￥ 860 亿,同花顺,易峥,金融数据服务
2020,No.120,￥ 858 亿,领益智造,曾芳勤,消费电子精密件
2020,No.121,￥ 850 亿,TCL集团,李东生,消费电子
2020,No.122,￥ 840 亿,三花控股,张道才,汽车零部件
2020,No.123,￥ 830 亿,沙钢集团,沈文荣,钢铁
2020,No.124,￥ 825 亿,万泰生物药业,钟睒睒,生物医药
2020,No.125,￥ 820 亿,逸仙电商,黄锦峰,电子商务
2020,No.125,￥ 820 亿,李宁,李宁,体育用品
