年份,排名,企业估值,企业信息,CEO,行业
2023,No.1,￥ 37100 亿,台湾积体电路制造,刘德音,半导体
2023,No.2,￥ 28500 亿,腾讯控股,马化腾,互联网服务
2023,No.3,￥ 15700 亿,阿里巴巴,蔡崇信,电子商务
2023,No.4,￥ 14000 亿,字节跳动,张利东,传媒和娱乐
2023,No.5,￥ 11000 亿,拼多多,陈磊,电子商务
2023,No.6,￥ 8110 亿,宁德时代,曾毓群,锂电池
2023,No.7,￥ 7830 亿,友邦保险,谢仕荣,金融服务
2023,No.8,￥ 7370 亿,中国平安保险,马明哲,金融服务
2023,No.9,￥ 6850 亿,比亚迪,王传福,汽车、手机部件及组装
2023,No.10,￥ 6570 亿,美团,王兴,生活服务
2023,No.11,￥ 5700 亿,华为,梁华,智能手机、电信解决方案
2023,No.12,￥ 5600 亿,蚂蚁科技,井贤栋,金融科技
2023,No.13,￥ 5390 亿,网易,丁磊,互联网技术
2023,No.14,￥ 4800 亿,农夫山泉,钟睒睒,饮料
2023,No.15,￥ 4500 亿,希音,许仰天,电商
2023,No.16,￥ 3900 亿,小米集团,雷军,智能手机、智能家电
2023,No.17,￥ 3620 亿,美的集团,方洪波,家电
2023,No.18,￥ 3530 亿,迈瑞生物医疗电子,李西廷,医疗器械
2023,No.19,￥ 3280 亿,联发科技,蔡明介,半导体
2023,No.20,￥ 3150 亿,鸿海精密工业,刘扬伟,电子设备
2023,No.21,￥ 3130 亿,京东集团,刘强东,电子商务
2023,No.21,￥ 3130 亿,理想汽车,李想,新能源汽车
2023,No.23,￥ 3020 亿,恒瑞医药,孙飘扬,医药
2023,No.24,￥ 2810 亿,百度,李彦宏,网络信息服务
2023,No.25,￥ 2610 亿,药明康德,李革,生物医药
2023,No.26,￥ 2460 亿,东方财富,其实,金融数据服务
2023,No.27,￥ 2350 亿,快手科技,宿华,传媒和娱乐
2023,No.28,￥ 2340 亿,立讯精密,王来春,消费电子精密件
2023,No.29,￥ 2330 亿,安踏体育,丁世忠,体育用品
2023,No.30,￥ 2300 亿,微众银行,顾敏,金融科技
2023,No.31,￥ 2180 亿,海天调味食品,庞康,调味品
2023,No.32,￥ 2170 亿,新鸿基地产,郭炳联,房地产
2023,No.33,￥ 2120 亿,海尔智家,李华刚,家用电器
2023,No.34,￥ 2070 亿,中华电信,谢继茂,电信服务
2023,No.35,￥ 2050 亿,牧原集团,秦英林,畜牧
2023,No.36,￥ 2010 亿,顺丰控股,王卫,快递
2023,No.37,￥ 2000 亿,药明生物,李革,生物医药
2023,No.37,￥ 2000 亿,泰康保险,陈东升,保险
2023,No.39,￥ 1980 亿,长城汽车,魏建军,汽车
2023,No.40,￥ 1850 亿,隆基绿能,钟宝申,硅材料
2023,No.40,￥ 1850 亿,格力电器,董明珠,家电
2023,No.42,￥ 1840 亿,富邦金融控股,蔡明兴,金融服务
2023,No.43,￥ 1820 亿,广达电脑,林百里,电子设备
2023,No.44,￥ 1800 亿,台达电子,海英俊,电子设备
2023,No.45,￥ 1790 亿,台塑石化,陈宝郎,石油、天然气
2023,No.46,￥ 1770 亿,携程集团,梁建章,互联网旅游服务
2023,No.47,￥ 1750 亿,银河娱乐,吕志和,博彩
2023,No.48,￥ 1740 亿,伊利实业,潘刚,乳制品
2023,No.49,￥ 1650 亿,汇川技术,朱兴明,工业自动化产品
2023,No.50,￥ 1640 亿,爱尔眼科,陈邦,医疗服务
2023,No.51,￥ 1620 亿,米哈游,刘伟,游戏
2023,No.51,￥ 1620 亿,太平洋建设,严昊,基础建设
2023,No.53,￥ 1560 亿,中国民生银行,高迎欣,金融服务
2023,No.54,￥ 1540 亿,百济神州,欧雷强,生物医药
2023,No.55,￥ 1520 亿,国泰金控,蔡宏图,保险
2023,No.56,￥ 1510 亿,智飞生物,蒋仁生,疫苗
2023,No.57,￥ 1500 亿,青山控股,项秉雪,钢铁
2023,No.58,￥ 1460 亿,中通快递,赖梅松,物流
2023,No.59,￥ 1450 亿,长和,李泽钜,投资
2023,No.60,￥ 1430 亿,OPPO,陈明永,消费电子产品
2023,No.61,￥ 1410 亿,中电控股,米高嘉道理,能源
2023,No.62,￥ 1400 亿,VIVO,沈炜,消费电子产品
2023,No.63,￥ 1390 亿,创科实业,Horst Julius Pudwill,消费品
2023,No.64,￥ 1380 亿,贝壳,彭永东,房地产服务
2023,No.65,￥ 1370 亿,阳光电源,曹仁贤,新能源电源设备
2023,No.65,￥ 1370 亿,百胜中国,胡祖六,餐饮
2023,No.67,￥ 1350 亿,滴滴,程维,共享经济
2023,No.68,￥ 1340 亿,日月光投资控股,张虔生,半导体
